"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",129,1.37,38.45,0,11.045,0.632,2,0.08,7.245,0.909,0.878,0.697,1.234,0.86,3.751,0.113,0.675,0.239899143,0.440249086,0.405726118,0.515228938,0.38701278,1.03,0.469393934,0.5,-0.019421048,-0.014180152,0.020699541,0.038701278,0.348311502,0.19350639,0.387,-2.497912173,1.595502461,-1.206903419,0.131726134,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",130,1.53,22.73,0,2.911,0.562,4,0.099,7.223,0.823,0.799,0.675,0.98,0.693,2.824,0.07,0.765,0.26845009,0.367659189,0.526675723,0.612761545,0.52448875,1.04,0.472510361,0.57,-0.074863955,0.050522894,-0.014980196,0.052448875,0.472039872,0.262244374,0.524,-0.878011383,1.625944512,-1.354067386,0.179363475,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",133,1.43,32.93,0,2.697,0.614,5,0.109,7.245,0.819,0.772,0.645,0.981,0.692,2.626,0.071,0.686,0.207848378,0.304653774,0.441000742,0.553335753,0.3215859,0.93,0.451646804,0.5,-0.010852764,0.05352391,0.007018354,0.032158589,0.289427304,0.160792947,0.322,-2.436060128,1.661047769,-0.73527939,0.218576562,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",135,1.38,24.98,0,2.532,0.634,3,0.119,7.273,0.81,0.791,0.641,0.966,0.684,2.528,0.069,0.648,0.15,0.085024403,0.124475714,0.19999303,0.31969607,0.3,0.17,0.4,0.013411393,-0.11018948,-0.012504225,0.031969607,0.287726462,0.159848034,0.32,-5.502195753,1.97548723,-0.382107329,0.213775461,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",137,1.64,33.08,0,2.972,0.545,3,0.1,7.263,0.801,0.765,0.634,0.951,0.669,2.81,0.067,0.626,0.272768815,0.338200319,0.422075903,0.510384752,0.3376203,0.94,0.448605361,0.46,-0.021394506,0.023583025,0.003333041,0.033762029,0.303858259,0.168810144,0.338,-2.968128882,1.583872853,-0.908829772,0.182312421,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",139,1.49,21.56,0,5.84,0.565,1,0.093,7.184,0.868,0.832,0.701,1.098,0.776,3.287,0.089,0.814,0.261876593,0.321042325,0.654524622,0.747086821,0.4622729,1.17,0.451460667,0.5,-0.008770889,-0.009273547,-0.031688262,0.046227291,0.416045621,0.231136456,0.462,-2.291797576,1.241816104,-0.909336163,0.193659341,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",149,1.65,45.36,0,3.041,0.524,1,0.103,7.216,0.81,0.799,0.67,0.959,0.676,2.842,0.067,0.768,0.23008051,0.353530954,0.394062266,0.494696074,0.29219908,0.93,0.559672469,0.4,-0.012939923,0.043323115,0.001530526,0.029219908,0.262979168,0.146099538,0.292,-3.610751341,1.59802046,-0.483836021,0.263584422,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",154,1.4,24.38,0,2.601,0.625,4,0.118,7.216,0.812,0.763,0.658,0.972,0.691,2.567,0.07,0.733,0.137176905,0.197587087,0.336305646,0.412851314,0.23298652,0.67,0.491344635,0.44,-0.029812427,0.082147785,-0.008845043,0.023298652,0.209687872,0.116493262,0.233,-2.308530816,2.143777515,-0.161890625,0.327519693,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",156,1.2,16.13,0,2.185,0.723,2,0.145,7.175,0.796,0.751,0.662,0.945,0.66,2.185,0.067,0.792,0.292875097,0.31488818,0.403246258,0.477291442,0.45240256,0.9,0.395336527,0.46,-0.027816463,-0.048345353,0.019168468,0.045240256,0.407162306,0.226201281,0.452,-3.086088756,1.687461137,-0.749884862,0.189337561,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",158,1.46,24.73,0,2.643,0.598,2,0.116,7.26,0.778,0.729,0.644,0.921,0.642,2.447,0.064,0.704,0.164004199,0.237916043,0.380219949,0.445332114,0.21199892,0.76,0.429528187,0.4,-0.028679483,0.023846433,-0.011959979,0.021199892,0.190799032,0.105999462,0.212,-3.947403539,1.793219058,-0.285069148,0.276619569,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
