"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo"
"18-08-30_YC001_probe1","18-08-30_YC001",166,72.98,16.43,0,88.999,0.012,0,0.007,6.677,0.471,0.419,0.516,0.499,0.25,27.203,0.02,1.627,0.064485273,0.39128203,0.114808195,0.143030257,0.08292763,0.6,0.476616357,0.1,-0.015222079,0.003407732,0.036322005,0.008292763,0.074634866,0.041463815,0.083,-10.45192657,6.148421764,-0.14459563,0.289915123,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",266,168.96,17.17,0,180.596,0.005,0,0.004,6.164,0.202,0.14,0.319,0.207,0.06,13.339,0.005,2.637,0.059937999,0.135800194,0.106030572,0.136166933,0.32377255,0.3,0.34632198,0.17,-0.018338913,0.0670426,0.024484125,0.032377255,0.291395295,0.161886275,0.324,-6.044511574,5.574122101,-0.686659744,0.286983103,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",272,25.04,21.91,0,30.189,0.037,0,0.017,7.071,0.414,0.359,0.432,0.435,0.197,8.388,0.016,0.916,0.096037357,0.120655553,0.074095852,0.083653569,0.24297924,0.23,0.217842949,0.23,-0.008335601,-0.0757911,-0.011707456,0.024297924,0.218681319,0.121489622,0.243,-8.738115301,6.025265105,-1.046408898,0.105684341,1,NA,1,"Purkinke",0,0,0,0,0,1,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",298,64.02,18.83,0,74.195,0.014,0,0.008,7.041,0.384,0.328,0.415,0.4,0.17,16.877,0.013,1.205,0.141700226,0.179221869,0.198850038,0.254876552,0.33106828,0.5,0.409641748,0.23,-0.10432695,0.11557436,-0.013004872,0.033106828,0.29796145,0.165534139,0.331,-6.962300047,3.079284092,-0.631992624,0.383817967,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",357,184.93,15.82,0,206.079,0.005,0,0.004,6.385,0.282,0.188,0.407,0.292,0.112,27.193,0.009,2.123,0.064749515,0.122840568,0.114090166,0.149794689,0.35483396,0.3,0.510367182,0.2,-0.09289535,0.16121045,0.009958472,0.035483396,0.319350564,0.17741698,0.355,-4.370394478,5.65104424,-0.547344692,0.479191146,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",358,139.05,22.39,0,161.29,0.006,0,0.004,6.557,0.333,0.253,0.47,0.347,0.143,26.856,0.011,1.978,0.095878508,0.147849816,0.217937114,0.280227953,0.4148983,0.46,0.418310001,0.27,-0.07748617,0.1408423,-0.001945002,0.041489831,0.373408476,0.207449153,0.415,-6.755768829,3.700393988,-0.726620798,0.391667851,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",359,177.94,14.89,0,201.372,0.005,0,0.004,5.831,0.259,0.122,0.475,0.272,0.119,25.794,0.01,2.83,0.063066251,0.12632289,0.136493791,0.173918591,0.27413216,0.33,0.377136463,0.17,-0.01289964,0.059698083,-0.009871819,0.027413216,0.246718946,0.137066081,0.274,-6.477055146,4.720799416,-0.537698663,0.270122063,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",362,61.61,26.1,0,69.156,0.015,0,0.009,7.205,0.335,0.289,0.348,0.345,0.129,12.743,0.01,0.817,0.045413824,0.104577322,0.089888651,0.111043264,0.38791546,0.23,0.368127249,0.16,-0.037625153,0.08951812,-0.010636363,0.038791546,0.349123916,0.193957731,0.388,-5.661673536,7.657711074,-0.813218774,0.315041391,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",377,34.64,13.7,0.01,55.536,0.023,0,0.007,6.613,0.63,0.567,0.732,0.703,0.433,29.141,0.039,1.776,0.035,0.016503048,0.07,0.07,0.31525496,0.07,0.03,0.07,0.020793123,-0.01262787,0,0.031525496,0.283729461,0.157627478,0.315,-19.10283168,8.571760037,-1.127925319,0.140235544,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-08-30_YC001_probe1","18-08-30_YC001",565,167.26,15.3,0,191.832,0.005,0,0.004,5.502,0.235,0.098,0.537,0.248,0.112,21.519,0.009,3.526,0.085,0.067888442,0.17,0.17,0.23838899,0.17,0.085,0.17,0.013738899,0.026186131,0.046580508,0.023838899,0.214550087,0.119194493,0.238,-8.457058151,4.966845765,-0.167609514,0.101540343,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
