"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",188,53.54,18.72,0,109.963,0.017,0,0.002,7.223,0.78,0.676,0.65,0.958,0.681,78.921,0.073,0.684,0.032749511,0.062829953,0.061299349,0.086321098,0.4086336,0.16,0.129308613,0.1,-0.008663288,-0.005661028,-0.019795055,0.040863359,0.367770231,0.204316795,0.409,-7.4377479,11.14196457,-1.356381845,0.109318736,2,3,5,"Go + MF",0,0,0,0,0,5,"GoMF",5,1
"18-08-30_YC001_probe1","18-08-30_YC001",198,11.5,24.18,0,67.14,0.031,0,0.004,5.746,1.129,1.209,1.375,1.618,1.219,44.549,0.165,2.156,0.053737167,0.07005204,0.066445936,0.074951106,0.4440142,0.16,0.145709897,0.12,-0.008101095,0.01030984,-0.014050978,0.044401419,0.399612772,0.222007096,0.444,-8.832412431,10.40264235,-1.477645268,0.102015849,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,2
"18-08-30_YC001_probe1","18-08-30_YC001",201,1.48,14.89,0,30.775,0.059,0,0.009,3.643,1.024,0.976,2.279,1.55,1.087,16.324,0.167,3.238,0.05,0.022541371,0.1,0.1,0.26569414,0.1,0.05,0.1,-0.000317018,0.042373393,0,0.026569414,0.239124727,0.132847071,0.266,-15.42972227,7.102443461,-0.540627575,0.063163406,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,3
"18-08-30_YC001_probe1","18-08-30_YC001",221,14.95,24.8,0,81.208,0.046,0,0.002,6.3,1.04,1.061,1.069,1.467,1.086,54.981,0.146,2.014,0.020747714,0.037343062,0.065,0.08481266,0.2310198,0.13,0.158142578,0.105,-0.007814149,0.012123838,-0.110592129,0.023101979,0.207917815,0.115509897,0.231,-15.20692579,10.06632149,-0.720600131,0.134415117,2,3,5,"Go + MF",0,0,0,0,0,2,"GoMF",5,1
"18-08-30_YC001_probe1","18-08-30_YC001",398,48.43,22.2,0,145.682,0.009,0,0.002,4.303,0.685,0.59,1.871,0.811,0.532,77.102,0.055,5.358,0.051223881,0.071886011,0.065034537,0.075466429,0.5996762,0.16,0.147489012,0.12,-0.000260175,0.02990822,-0.007154796,0.059967619,0.539708573,0.299838096,0.6,-17.17797373,12.08977252,-2.219788615,0.095599341,2,3,5,"Go + MF",0,0,0,0,0,5,"GoMF",5,1
"18-08-30_YC002_probe1","18-08-30_YC002",149,6.44,14.17,0,22.843,0.064,0,0.014,5.247,0.832,0.757,1.653,1.052,0.742,12.822,0.085,3.04,0.052018194,0.084273296,0.086423882,0.098980993,0.3091371,0.2,0.145534765,0.1,-0.011111481,0.01506888,-0.017849445,0.030913711,0.278223395,0.154568553,0.309,-17.63440222,9.366497408,-1.072972289,0.086072876,2,3,5,"Go + MF",0,0,0,0,0,3,"GoMF",5,4
"18-08-30_YC002_probe1","18-08-30_YC002",153,22.62,17.21,0,83.369,0.029,0,0.003,6.513,1.004,1.023,1.025,1.338,1.001,61.462,0.122,1.713,0.035,0.012135341,0.035,0.035,0.22332406,0.07,0.03,0.07,0.000428176,0.022549849,0,0.022332406,0.200991654,0.11166203,0.223,-18.40278407,9.236632328,-0.667803996,0.136626166,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,1
"18-08-30_YC002_probe1","18-08-30_YC002",170,16.54,16.91,0,94.818,0.021,0,0.003,5.566,1.01,1.006,1.446,1.398,1.029,57.429,0.135,2.458,0.07,0.066875821,0.07,0.07,0.26478073,0.14,0.1,0.1,0.014172334,0.024673035,-0.013649006,0.026478073,0.238302657,0.132390365,0.265,-8.480173094,8.055360426,-0.445597121,0.051316125,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,1
"18-08-30_YC002_probe1","18-08-30_YC002",255,10.28,15.59,0,55.792,0.031,0,0.005,5.026,1.016,1.028,1.543,1.379,1.03,34.707,0.13,2.786,0.068360595,0.125087571,0.082555685,0.123427895,0.5796552,0.27,0.333792159,0.13,-0.03623022,0.072641216,0.003684848,0.057965517,0.521689653,0.289827585,0.58,-8.452810863,7.290244309,-1.358089636,0.23990075,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,2
"18-08-31_YC003_probe1","18-08-31_YC003",0,15.04,14.63,0.02,97.82,0.051,0,0.003,6.12,1.465,1.71,1.072,2.353,1.828,65.158,0.279,1.455,0.053270718,0.080317739,0.051299707,0.066162707,0.9585621,0.16,0.228423901,0.16,-0.055367358,0.009268666,0.017154429,0.095856208,0.862705868,0.479281038,0.959,-7.193814276,14.82564403,-2.857673741,0.1638869,2,3,5,"Go + MF",0,0,0,0,0,2,"GoMF",5,3
"18-08-31_YC003_probe1","18-08-31_YC003",152,11.85,26.06,0,46.104,0.022,0,0.01,3.429,0.644,0.473,2.823,0.816,0.531,14.609,0.064,5.117,0.026977968,0.059412512,0.06985202,0.086884594,0.22389787,0.16,0.147256809,0.12,-0.00504063,-0.002563585,-0.037434028,0.022389787,0.201508087,0.111948937,0.224,-8.941764115,9.691416124,-0.785425607,0.11934858,2,3,5,"Go + MF",0,0,0,0,0,3,"GoMF",5,3
"18-08-31_YC003_probe1","18-08-31_YC003",170,23.47,13.55,0,43.074,0.034,0,0.007,5.255,0.923,0.894,1.626,1.191,0.873,26.012,0.102,2.925,0.044090842,0.086574399,0.050837531,0.057807483,0.42463112,0.16,0.149540869,0.16,0.00225935,0.021463495,0.009930344,0.042463112,0.382168007,0.212315559,0.425,-16.24436842,15.61707842,-1.649619014,0.093132906,2,3,5,"Go + MF",0,0,0,0,0,5,"GoMF",5,2
"18-08-31_YC003_probe1","18-08-31_YC003",239,29.54,14.29,0,54.516,0.025,0,0.007,5.241,0.85,0.817,1.502,1.055,0.757,31.314,0.083,3.202,0.032322937,0.101201592,0.098234801,0.12925336,0.15895203,0.26,0.547869044,0.13,0.002481135,0.07256,0.006444729,0.015895203,0.143056825,0.079476014,0.159,-8.925069925,5.566893382,-0.165675834,0.392542835,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,2
"18-08-31_YC003_probe1","18-08-31_YC003",295,35.03,14.08,0.01,83.596,0.013,0,0.006,4.666,0.709,0.62,1.707,0.854,0.573,36.991,0.061,4.327,0.059889035,0.154287525,0.133225278,0.173809623,0.2841694,0.36,0.644436936,0.24,-0.12703514,0.15898114,0.00571535,0.028416941,0.255752465,0.142084703,0.284,-3.968623794,4.452584627,-0.328722438,0.511488347,2,4,6,"Unknown",0,0,0,0,0,4,"GoMF",5,2
"18-08-31_YC003_probe1","18-08-31_YC003",300,18.69,26.11,0,60.338,0.02,0,0.006,4.383,0.663,0.418,2.049,0.893,0.603,22.486,0.08,4.136,0.084492987,0.160165021,0.091577299,0.118812052,0.6761914,0.3,0.495819824,0.16,-0.121256,0.24767971,0.019864385,0.067619139,0.608572251,0.338095695,0.676,-5.151354624,7.031158898,-1.024554677,0.359096526,2,3,5,"Go + MF",0,0,0,0,0,3,"GoMF",5,3
"18-08-31_YC003_probe1","18-08-31_YC003",54,22.7,25.12,0.05,120.357,0.032,0,0.002,7.074,0.942,0.935,0.875,1.313,0.975,85.525,0.128,0.589,0.066317835,0.115656387,0.084439054,0.101534832,0.72287095,0.23,0.255555402,0.13,-0.02973106,0.056274638,-0.02609847,0.072287095,0.650583851,0.361435473,0.723,-7.479141145,9.221106182,-1.988295524,0.167070149,2,3,5,"Go + MF",0,0,0,0,0,2,"GoMF",5,1
"18-08-31_YC003_probe1","18-08-31_YC003",92,37.11,19.87,0,150.979,0.014,0,0.002,5.21,0.822,0.756,1.465,1.032,0.728,94.357,0.083,3.55,0.05,0.031675751,0.05,0.05,0.25043958,0.1,0.07,0.07,0.008567238,-0.016445216,0,0.025043958,0.225395626,0.125219792,0.25,-11.39745712,9.849906481,-0.831408685,0.247438857,2,3,5,"Go + MF",0,0,0,0,0,5,"GoMF",5,1
"18-08-31_YC004_probe1","18-08-31_YC004",74,16.21,15.74,0,114.232,0.022,0,0.002,5.08,1.013,1.012,1.696,1.397,1.022,79.179,0.134,3.348,0.085,0.09343599,0.17,0.17,0.9619942,0.17,0.1,0.13,0.003879566,-0.05976881,-0.003646336,0.096199417,0.865794754,0.480997086,0.962,-13.17106782,5.217069835,0,0.113947467,2,3,5,"Go + MF",0,0,0,0,0,4,"GoMF",5,1
"18-09-03_YC005_probe1","18-09-03_YC005",35,10.6,17.25,0,34.048,0.037,0,0.011,5.567,0.94,0.929,1.426,1.211,0.898,21.715,0.104,2.672,0.058690358,0.102180751,0.070642175,0.084845189,0.7574405,0.2,0.209828037,0.1,0.006692404,0.018477663,-0.018989797,0.075744051,0.681696457,0.378720254,0.757,-8.861323234,11.18909854,-2.479155314,0.134964557,2,3,5,"Go + MF",0,0,0,0,0,3,"GoMF",5,2
"18-09-03_YC006_probe1","18-09-03_YC006",104,15.79,20.2,0,101.734,0.021,0,0.003,4.409,0.83,0.525,2.087,1.365,0.894,35.148,0.159,3.579,0.067585187,0.1188597,0.073987873,0.094881355,0.70033866,0.23,0.408052466,0.13,-0.082360424,0.2173052,-0.005715302,0.070033866,0.630304796,0.350169331,0.7,-5.730426517,9.098018424,-1.2965955,0.344892918,2,3,5,"Go + MF",0,0,0,0,0,2,"GoMF",5,2
