"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",134,1.78,24.82,0,16.488,0.497,1,0.067,7.225,0.901,0.864,0.689,1.26,0.85,4.79,0.12,0.666,0.165,0.082591946,0.131656947,0.231726265,0.32422087,0.33,0.13,0.54,0.043718398,0.099403456,0.015030582,0.032422087,0.291798779,0.162110433,0.324,-5.079260728,1.261978419,-0.362495185,0.277897658,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,1
"18-08-30_YC001_probe1","18-08-30_YC001",195,1.55,14.7,0,3.919,0.459,1,0.079,6.02,0.855,0.822,0.955,1.059,0.767,3.288,0.083,1.809,0.197715905,0.262982354,0.262046507,0.357399219,0.54426706,0.67,0.50789657,0.5,-0.17880653,0.13388374,0.020358799,0.054426706,0.489840353,0.272133529,0.544,-1.593109485,2.725822242,-0.940278556,0.30178796,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-08-30_YC001_probe1","18-08-30_YC001",204,2.93,29.84,0,10.323,0.201,0,0.026,6.342,0.837,0.78,1.104,1.038,0.736,6.863,0.081,1.827,0.075172893,0.165933427,0.094830889,0.136399614,0.54554296,0.33,0.334932361,0.17,-0.019954793,0.02685425,0.064705556,0.054554296,0.49098866,0.272771478,0.546,-7.808386694,5.990485302,-1.395772614,0.197665517,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-08-30_YC001_probe1","18-08-30_YC001",24,0.72,13.77,0,5.182,0.697,0,0.067,4.75,0.772,0.614,1.094,0.995,0.727,3.562,0.085,1.439,0.129194157,0.177203985,0.170210055,0.225860928,0.7113164,0.43,0.305648564,0.23,-0.033718247,0.03556582,-0.004988533,0.071131641,0.640184766,0.355658203,0.711,-5.016325337,4.65178972,-1.773342211,0.217755754,3,NA,2,"Complex Spike",0,0,0,0,0,4,"Gr",4,1
"18-08-30_YC001_probe1","18-08-30_YC001",396,2.62,19.31,0.05,75.663,0.135,0,0.003,5.924,1.213,1.336,1.258,2.293,1.463,23.25,0.303,1.309,0.086059042,0.158476321,0.098591932,0.115282352,0.3992286,0.3,0.402321256,0.16,-0.052269682,0.08897757,0.020935404,0.03992286,0.359305742,0.199614301,0.399,-5.036644612,5.552507217,-0.720693552,0.317444349,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,2
"18-08-30_YC002_probe1","18-08-30_YC002",10,2.21,19.72,0,32.075,0.152,0,0.006,5.2,1.1,1.147,1.624,1.657,1.182,17.934,0.178,2.88,0.044472427,0.061604565,0.049494295,0.056199779,0.5485025,0.13,0.06636435,0.13,0.002299332,-0.07314786,-0.011379114,0.05485025,0.493652254,0.274251252,0.549,-9.852657853,14.09892663,-2.023539018,0.066983187,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"18-08-31_YC003_probe1","18-08-31_YC003",162,2.96,16.46,0,9.115,0.224,0,0.028,6.78,0.938,0.938,0.959,1.188,0.877,7.497,0.098,1.404,0.114710784,0.153782485,0.211870746,0.259352103,0.7429989,0.43,0.291676933,0.26,-0.06810339,0.044687472,-0.037488151,0.07429989,0.668699008,0.371499449,0.743,-6.533299374,4.541305747,-2.077791104,0.188171385,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-08-31_YC004_probe1","18-08-31_YC004",164,1.72,22.27,0,136.233,0.505,0,0.002,6.484,1.315,1.549,0.884,3.071,1.67,12.038,0.458,0.657,0.711463235,0.792475934,0.389177169,0.480929953,0.17224263,1.63,0.542909175,0.4,-0.052453842,0.043658126,-0.000141314,0.017224263,0.155018364,0.086121313,0.172,-2.631766693,2.00371477,-0.386673,0.310169746,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,2
"18-08-31_YC004_probe1","18-08-31_YC004",65,2.17,15.97,0,6.363,0.233,1,0.05,5.889,0.837,0.794,1.258,1.026,0.727,4.542,0.078,2.422,0.218964825,0.260601463,0.08834203,0.126993305,0.4889171,0.43,0.358439203,0.215,-0.03654264,0.008962794,0.068567138,0.048891711,0.440025401,0.244458556,0.489,-11.58807118,7.635168806,-1.440763343,0.147727349,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,1
"18-09-03_YC005_probe1","18-09-03_YC005",0,2.81,19.84,0,24.18,0.192,0,0.008,6.159,1.141,1.225,1.207,1.749,1.272,14.419,0.193,1.744,0.082057057,0.194509001,0.090895378,0.110115204,0.35844237,0.33,0.351374364,0.13,-0.021421501,0.025285976,0.062742749,0.035844237,0.32259813,0.179221183,0.358,-11.52340372,6.198810816,-1.003413909,0.17741907,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"18-09-03_YC005_probe1","18-09-03_YC005",50,0.97,15.26,0,7.651,0.311,0,0.034,5.213,1.046,1.099,1.518,1.41,1.064,6.508,0.131,2.132,0.146217396,0.20924622,0.231340346,0.315550381,0.40529457,0.57,0.389258293,0.417115241,-0.21571796,0.12291822,-0.004948441,0.040529457,0.364765111,0.202647284,0.405,-2.09987598,2.943345172,-0.85529608,0.453110322,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"18-12-13_YC008_probe1","18-12-13_YC008",184,3.11,15.23,0,9.298,0.236,0,0.027,6.958,0.928,0.923,0.873,1.186,0.873,7.55,0.1,1.231,0.18516795,0.25445822,0.499160381,0.557763735,0.37341753,1,0.551219507,0.27,-0.11201827,0.023033565,0.032084377,0.037341753,0.336075774,0.186708763,0.373,-3.531902756,3.822580912,-0.560859515,0.405446907,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-12-17_YC009_probe1","18-12-17_YC009",110,2.78,13.88,0,6.466,0.28,0,0.043,6.106,0.92,0.929,0.855,1.121,0.822,5.919,0.086,1.44,0.069081193,0.108479252,0.092654744,0.103072461,0.34494367,0.23,0.210213921,0.1,-0.0261988,0.010574475,-0.01385661,0.034494367,0.310449305,0.172471836,0.345,-8.394317107,6.758186785,-1.170166198,0.150642971,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-12-17_YC009_probe1","18-12-17_YC009",126,0.25,12.57,0,7.553,0.265,0,0.035,5.668,0.94,0.92,1.408,1.198,0.884,6.258,0.1,2.831,0.08,0.059163182,0.054073174,0.096189074,1.2179606,0.16,0.1,0.16,0.066285275,0.024455635,-0.092244409,0.12179606,1.096164536,0.608980298,1.218,-17.31610676,3.047136595,-0.069331692,0.300105828,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"18-12-17_YC009_probe1","18-12-17_YC009",287,2.98,17.27,0,12.597,0.2,0,0.019,6.406,0.947,0.949,1.092,1.234,0.907,9.678,0.108,1.854,0.030840345,0.079265157,0.048463636,0.062879239,0.39351436,0.16,0.148781618,0.16,-0.006954171,-0.007762203,0.00901406,0.039351436,0.354162928,0.196757182,0.394,-9.531029185,11.59322458,-1.235436379,0.099858427,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"18-12-17_YC009_probe1","18-12-17_YC009",94,19.66,13.8,0,5.535,0.596,0,0.042,5.525,0.957,0.943,1.251,1.278,0.939,4.849,0.116,2.401,0.03871765,0.081237905,0.066908825,0.10460433,0.43362275,0.2,0.190949855,0.14,-0.005866607,-0.01941721,-0.020637889,0.043362275,0.390260473,0.216811374,0.434,-8.13254469,9.500045121,-1.357175142,0.123901469,2,2,4,"Granule",0,0,0,0,0,3,"Gr",4,2
"18-12-18_YC010_probe1","18-12-18_YC010",1,2.34,14.69,0,10.84,0.181,0,0.025,5.436,0.9,0.867,1.53,1.165,0.847,6.68,0.1,2.996,0.041391915,0.061814914,0.044968325,0.055643096,0.762556,0.13,0.166329371,0.13,-0.03324128,-0.030838398,4.17e-05,0.076255602,0.686300415,0.381278008,0.763,-7.110941686,16.14436095,-2.538734526,0.131494903,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"18-12-18_YC010_probe1","18-12-18_YC010",22,1.4,23.59,0,11.385,0.218,0,0.022,4.769,0.958,0.98,1.769,1.265,0.921,7.233,0.113,2.953,0.060249093,0.096926497,0.107935694,0.148152233,0.47133258,0.26,0.256760043,0.14,-0.054688238,0.07595813,-0.016787077,0.047133258,0.424199322,0.23566629,0.471,-7.081237859,6.919656851,-1.155799866,0.231350807,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"19-01-24_YC013_probe1","19-01-24_YC013",30,2.13,24.49,0,6.726,0.213,0,0.05,5.862,0.902,0.884,1.254,1.13,0.831,4.817,0.091,2.302,0.074869645,0.179042095,0.133027615,0.163241395,0.331694,0.37,0.348678781,0.17,-0.06707025,0.030244805,-0.010358554,0.033169401,0.298524606,0.165847003,0.332,-6.560198843,4.412722282,-0.756275712,0.239407894,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,1
"19-01-24_YC013_probe1","19-01-24_YC013",46,3.36,21.61,0,7.481,0.174,0,0.05,6.183,0.826,0.804,1.09,0.999,0.715,4.895,0.074,1.929,0.090306753,0.127828647,0.159038786,0.17753272,0.35564196,0.33,0.446411839,0.2,-0.06150417,0.12853724,-0.016028505,0.035564196,0.320077765,0.177820981,0.356,-6.635448249,4.60714992,-0.582812986,0.369015069,2,2,4,"Granule",0,0,0,0,0,1,"Gr",4,1
"19-08-14_YC015_probe2","19-08-14_YC015",680,2.14,25.3,0,6.116,0.379,1,0.047,7.114,0.914,0.898,0.78,1.166,0.849,5.197,0.098,0.966,0.45,0.151409847,0.657444223,0.716839741,0.3800591,0.9,0.701459822,0.721409847,-0.058944494,0.09788015,-0.005967643,0.052646123,0.34266162,0.190029547,0.38,-0.605092255,1.289655901,-0.166100596,1.074420044,2,2,4,"Granule",0,0,1,0,0,2,"Gr",4,1
"19-08-14_YC015_probe1","19-08-14_YC015",912,1.78,17.27,0,7.073,0.457,0,0.033,7.118,0.94,0.919,0.78,1.254,0.902,5.164,0.113,0.919,0.349998168,0.421781417,0.544704328,0.571194557,0.3792363,1.1,0.57214989,0.53,-0.04293626,0.028958524,-0.007415942,0.037923631,0.34131268,0.189618155,0.379,-0.651677775,1.217503074,-0.716024952,0.193592492,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,1
"19-08-14_YC016_probe2","19-08-14_YC016",18,2.11,16.19,0,7.178,0.317,0,0.032,6.71,0.958,0.959,0.954,1.243,0.923,6.176,0.108,1.48,0.068864143,0.126489575,0.08662874,0.116116755,0.6426967,0.26,0.31524765,0.16,-0.031686537,0.038060714,0.00939783,0.064269668,0.578427011,0.321348339,0.643,-5.172789369,8.72331204,-1.535284156,0.227912298,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
