"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",115,14.92,15.78,0,23.48,0.058,0,0.016,7.11,0.543,0.481,0.64,0.589,0.329,9.805,0.028,1.068,0.108226388,0.180977397,0.142658846,0.190511474,0.5875361,0.4,0.335085253,0.2,-0.039278317,0.058261223,-0.007732455,0.05875361,0.528782487,0.293768048,0.588,-7.361966917,4.899495747,-1.453171559,0.202130627,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",125,8.06,13.81,0,12.769,0.1,0,0.03,6.974,0.686,0.644,0.685,0.773,0.498,7.559,0.046,1.269,0.123071039,0.179463616,0.147084681,0.247352955,0.6841292,0.46,0.346177651,0.23,-0.07402082,0.07337131,0.016010856,0.068412918,0.615716261,0.342064589,0.684,-6.732331627,4.430808305,-1.694039089,0.211143692,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,2
"18-08-30_YC001_probe1","18-08-30_YC001",155,8.85,15,0,19.439,0.082,0,0.017,6.876,0.843,0.833,0.856,1.013,0.724,13.871,0.074,1.377,0.081115226,0.149974934,0.09255543,0.129061655,0.7017148,0.3,0.270959612,0.2,-0.05793765,0.03602525,0.016631407,0.070171481,0.631543332,0.350857407,0.702,-5.07039158,7.253915814,-1.959743478,0.184706952,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",159,22.12,14.21,0.02,40.508,0.035,0,0.008,6.945,0.743,0.696,0.759,0.86,0.579,25.792,0.056,1.37,0.040581149,0.078876696,0.09679292,0.132730819,0.2672116,0.23,0.229415468,0.17,-0.010793642,0.052372634,-0.00674918,0.026721159,0.240490428,0.133605793,0.267,-7.849129252,6.837651542,-0.704889199,0.289358322,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,3
"18-08-30_YC001_probe1","18-08-30_YC001",189,13.45,14.13,0,16.612,0.064,0,0.034,6.446,0.434,0.368,0.541,0.458,0.217,4.762,0.018,2.027,0.039558126,0.077500117,0.057147774,0.065726107,0.3475098,0.16,0.121152204,0.07,-0.003935719,0.017773937,-0.008335268,0.03475098,0.312758821,0.173754901,0.348,-16.58424187,14.26112354,-1.233063447,0.083238027,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",190,10.02,30.88,0,22.617,0.067,0,0.015,6.553,0.648,0.582,0.936,0.731,0.461,10.408,0.043,1.647,0.070489414,0.152023367,0.081065421,0.097033304,0.55414176,0.27,0.311137616,0.14,-0.001838371,-0.007348546,0.035909142,0.055414176,0.498727584,0.27707088,0.554,-10.79172692,7.270726769,-1.626006938,0.159581136,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",194,7.67,13.98,0.02,26.446,0.085,0,0.009,6.399,0.903,0.867,1.075,1.157,0.837,19.027,0.097,2.106,0.043924904,0.09802747,0.095677066,0.112866895,0.27081868,0.23,0.217295589,0.1,-0.010452434,0.014964676,0.003041025,0.027081868,0.243736812,0.13540934,0.271,-16.17726245,5.817393462,-0.759657819,0.176101481,2,1,3,"Potentially MLI",0,0,0,0,0,4,"MLI",3,2
"18-08-30_YC001_probe1","18-08-30_YC001",200,19.86,18.18,0.02,57.607,0.045,0,0.004,7.056,0.737,0.641,0.752,0.893,0.612,37.53,0.065,0.909,0.058612158,0.079897134,0.053307722,0.059587644,0.29538584,0.16,0.142897174,0.07,-0.006279357,0.015006839,-0.008572921,0.029538584,0.265847254,0.147692919,0.295,-16.17080705,15.09808836,-1.241719661,0.088898958,2,1,3,"Potentially MLI",0,0,0,0,0,4,"MLI",3,3
"18-08-30_YC001_probe1","18-08-30_YC001",205,24.44,23.15,0,58.448,0.029,0,0.005,6.495,0.68,0.608,0.946,0.786,0.51,33.107,0.05,1.972,0.028347943,0.051794192,0.054480275,0.061243381,0.18727201,0.13,0.121278927,0.105,-0.010475036,0.00856662,-0.053245153,0.018727201,0.168544811,0.093636006,0.187,-15.19472339,14.78610436,-0.562225594,0.125606875,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,3
"18-08-30_YC001_probe1","18-08-30_YC001",206,6.17,31.67,0,11.686,0.113,0,0.031,6.537,0.701,0.637,0.864,0.807,0.531,6.992,0.051,1.866,0.020740234,0.042632693,0.044519373,0.050862737,0.38438657,0.1,0.12285853,0.07,-0.010749787,0.01122958,0,0.038438657,0.345947912,0.192193285,0.384,-16.48277971,15.76450467,-1.461254639,0.087398069,2,1,3,"Potentially MLI",0,0,0,0,0,4,"MLI",3,2
