"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",166,72.98,16.43,0,88.999,0.012,0,0.007,6.677,0.471,0.419,0.516,0.499,0.25,27.203,0.02,1.627,0.064485273,0.39128203,0.114808195,0.143030257,0.08292763,0.6,0.476616357,0.1,-0.015222079,0.003407732,0.036322005,0.008292763,0.074634866,0.041463815,0.083,-10.45192657,6.148421764,-0.14459563,0.289915123,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-30_YC001_probe1","18-08-30_YC001",177,197.42,14.6,0,244.052,0.004,0,0.003,4.321,0.26,0.071,0.792,0.281,0.149,32.027,0.013,4.24,0.072928003,0.204118744,0.139409964,0.184242759,0.2749448,0.43,0.486442046,0.23,-0.004710951,0.014960989,0.031347668,0.027494481,0.247450331,0.137472406,0.275,-4.075366259,5.16478426,-0.453349079,0.296868641,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",263,159.05,17.3,0,173.687,0.006,0,0.004,6.06,0.221,0.15,0.381,0.228,0.075,14.909,0.006,2.843,0.055060291,0.112845632,0.093513892,0.122927032,0.3201702,0.26,0.346082653,0.13,-0.026795922,0.066371456,0.010390169,0.032017019,0.288153175,0.160085097,0.32,-5.810617591,6.206179018,-0.70694958,0.296826748,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",266,168.96,17.17,0,180.596,0.005,0,0.004,6.164,0.202,0.14,0.319,0.207,0.06,13.339,0.005,2.637,0.059937999,0.135800194,0.106030572,0.136166933,0.32377255,0.3,0.34632198,0.17,-0.018338913,0.0670426,0.024484125,0.032377255,0.291395295,0.161886275,0.324,-6.044511574,5.574122101,-0.686659744,0.286983103,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",272,25.04,21.91,0,30.189,0.037,0,0.017,7.071,0.414,0.359,0.432,0.435,0.197,8.388,0.016,0.916,0.096037357,0.120655553,0.074095852,0.083653569,0.24297924,0.23,0.217842949,0.23,-0.008335601,-0.0757911,-0.011707456,0.024297924,0.218681319,0.121489622,0.243,-8.738115301,6.025265105,-1.046408898,0.105684341,1,NA,1,"Purkinke",0,0,0,0,0,1,"Pk",1,3
"18-08-30_YC001_probe1","18-08-30_YC001",281,51.53,19.01,0,61.994,0.018,0,0.009,7.263,0.48,0.432,0.43,0.508,0.253,21.558,0.021,0.782,0.166259015,0.43667102,0.118681443,0.187821904,0.21137805,0.7,0.7,0.26,-0.07305524,0.013887048,0.118445579,0.021137805,0.190240248,0.105689026,0.211,-3.03195763,5.003357378,-0.391759344,0.25482839,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC001_probe1","18-08-30_YC001",296,70.34,14.34,0,102.475,0.011,0,0.005,6.551,0.61,0.558,0.728,0.675,0.411,43.708,0.036,1.746,0.049682256,0.12762581,0.112218045,0.143856199,0.24869375,0.3,0.452386434,0.17,-0.07147099,0.10040378,0.020503972,0.024869375,0.223824374,0.124346875,0.249,-5.577130616,5.304285644,-0.460990456,0.503649876,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-30_YC001_probe1","18-08-30_YC001",298,64.02,18.83,0,74.195,0.014,0,0.008,7.041,0.384,0.328,0.415,0.4,0.17,16.877,0.013,1.205,0.141700226,0.179221869,0.198850038,0.254876552,0.33106828,0.5,0.409641748,0.23,-0.10432695,0.11557436,-0.013004872,0.033106828,0.29796145,0.165534139,0.331,-6.962300047,3.079284092,-0.631992624,0.383817967,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC001_probe1","18-08-30_YC001",303,69.85,24.12,0,74.643,0.014,0,0.009,7.308,0.251,0.215,0.256,0.255,0.073,8.315,0.005,0.478,0.0537796,0.101113084,0.097918778,0.137777171,0.36944678,0.26,0.356985888,0.14,-0.026160624,0.11593765,0.006775037,0.036944678,0.332502106,0.184723392,0.369,-7.901246843,6.560473142,-0.701824949,0.335888552,1,NA,1,"Purkinke",1,0,0,0,0,3,"Pk",1,3
"18-08-30_YC001_probe1","18-08-30_YC001",304,109.22,14.8,0,121.138,0.008,0,0.006,6.712,0.321,0.248,0.377,0.333,0.13,19.848,0.01,1.747,0.07803132,0.153319131,0.114662906,0.144161274,0.36690575,0.33,0.471114614,0.27,-0.09315949,0.12988831,0.028681024,0.036690575,0.330215174,0.183452874,0.367,-3.114029046,4.973633077,-0.626816259,0.385190079,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,3
