Sample,SampleP,Unit,MFRBlockHz,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_Si,tf_skw,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_EndSlopeTau,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,RespPk,RespGo,RespGr,RespMF,RespMLI,ClusterACG,Cluster,ClusterNo,NewCluster
19-08-14_YC016_probe2,19-08-14_YC016,814,73.65,11.55,0,84.661,0.013,0,0.007,6.878,0.367,0.307,0.404,0.382,0.159,18.574,0.013,1.438,0.06880356,0.113461854,0.083374883,0.098366793,0.64926624,0.23,0.310916616,0.17,-0.029421294,0.03043891,0.016184859,0.064926624,0.584339619,0.324633121,0.649,-4.761866763,9.714789297,-1.674713134,0.211446526,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-22_YC022_probe1,19-10-22_YC022,61,140.94,8.76,0.01,162.157,0.006,0,0.004,6.73,0.358,0.281,0.435,0.373,0.159,31.419,0.013,1.651,0.043192323,0.088556567,0.101861778,0.118937558,0.25141853,0.23,0.735599106,0.119364409,-0.122307815,0.013072062,0.011557399,0.025141853,0.226276678,0.125709265,0.251,-3.75250296,7.712246489,-0.410558712,0.679876083,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe1,19-08-14_YC016,605,71.48,24.78,0,75.121,0.014,0,0.01,7.195,0.181,0.149,0.228,0.182,0.04,4.427,0.003,0.702,0.085,0.057492652,0.05749962,0.106891777,0.7237075,0.17,0.17,0.17,0.03363741,-0.005445654,-0.016801559,0.07237075,0.651336747,0.361853749,0.724,-12.58842747,5.206465885,-0.043160541,0.112023883,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
18-08-30_YC001_probe1,18-08-30_YC001,54,137.18,20.14,0,159.29,0.006,0,0.004,6.659,0.325,0.239,0.46,0.338,0.139,25.737,0.011,1.792,0.046536492,0.105073037,0.097394043,0.133559053,0.31740955,0.26,0.39015609,0.17,-0.010799056,0.09418306,0.006488893,0.031740955,0.285668591,0.158704773,0.317,-6.903119398,6.409294731,-0.61823521,0.355031401,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-03_YC020_probe1,19-10-03_YC020,12,61.04,12.33,0.01,80.322,0.014,0,0.006,6.937,0.573,0.519,0.616,0.623,0.357,35.232,0.031,1.406,0.076448717,0.132757505,0.106574334,0.147085736,0.6632215,0.3,0.316657543,0.2,-0.032157164,0.10614481,0.026892831,0.066322148,0.596899331,0.331610739,0.663,-5.86107282,7.015287321,-1.604404783,0.243427283,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-11-05_YC037_probe1,19-11-05_YC037,376,76.4,14.61,0.01,82.204,0.013,0,0.008,7.293,0.265,0.228,0.257,0.269,0.08,10.175,0.006,0.473,0.18,0.095156544,0.18,0.18,0.65763825,0.36,0.2,0.47,-0.006008281,-0.4161204,0.043255163,0.065763825,0.591874427,0.328819126,0.658,-4.911294666,2.119361121,0,1.003470738,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-22_YC022_probe1,19-10-22_YC022,373,187.62,15.67,0,201.079,0.005,0,0.004,6.526,0.17,0.108,0.305,0.173,0.047,11.573,0.004,1.927,0.103265531,0.14658934,0.177558458,0.263764079,0.44803277,0.44,0.439711924,0.3,-0.1357549,0.16192865,0.001216818,0.044803277,0.40322949,0.224016383,0.448,-4.794521744,4.007938385,-0.767051934,0.399548592,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-01_YC017_probe1,19-10-01_YC017,156,156.75,12.23,0.04,180.742,0.005,0,0.004,6.418,0.294,0.188,0.465,0.306,0.126,26.313,0.01,2.13,0.058103897,0.156585511,0.147145872,0.197959847,0.18723147,0.4,1.057730809,0.27,-0.22667927,0.045959085,-0.000229721,0.018723147,0.16850832,0.093615733,0.187,-3.544795513,4.262262361,-0.036701072,0.795145912,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-09-30_YC017_probe1,19-09-30_YC017,393,63.57,13.01,0.01,89.81,0.013,0,0.005,6.882,0.383,0.32,0.617,0.4,0.174,21.252,0.014,1.371,0.065,0.048375169,0.065,0.065,0.41161418,0.13,0.16,0.23,0.004007418,-0.13557431,-0.029294481,0.041161418,0.370452762,0.20580709,0.412,-12.61485389,3.314087668,0,0.297656193,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-08-14_YC015_probe1,19-08-14_YC015,929,45.34,11.17,0.02,54.211,0.019,0,0.011,6.945,0.441,0.374,0.474,0.465,0.224,15.132,0.018,1.367,0.031231066,0.072666545,0.106590246,0.133059635,0.15800512,0.23,0.374050731,0.17,0.001746788,0.05105797,-0.023084619,0.015800512,0.142204607,0.079002559,0.158,-9.205664726,6.191195635,-0.363831591,0.390349266,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-09-30_YC017_probe1,19-09-30_YC017,19,82.51,21.42,0,91.043,0.011,0,0.007,7.115,0.33,0.286,0.339,0.34,0.125,16.537,0.01,0.959,0.05052581,0.093405976,0.062005435,0.095422097,0.7461255,0.2,0.234905262,0.13,-0.03645514,0.05821138,-0.025797871,0.074612552,0.671512967,0.37306276,0.746,-6.381041492,11.41552053,-2.045880378,0.184951349,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
18-12-17_YC009_probe1,18-12-17_YC009,453,105.15,19.72,0,121.124,0.008,0,0.005,6.575,0.307,0.217,0.453,0.319,0.128,17.852,0.01,1.904,0.082469264,0.15829809,0.119431773,0.181434711,0.4933036,0.37,0.437738205,0.27,-0.0849711,0.15851685,0.034766726,0.04933036,0.443973237,0.246651798,0.493,-3.105469512,5.136045489,-0.869906261,0.368222167,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-09-30_YC018_probe1,19-09-30_YC018,730,138.52,15.68,0,150.698,0.007,0,0.004,6.855,0.199,0.136,0.321,0.203,0.058,11.16,0.004,1.519,0.083273721,0.147916585,0.180475049,0.222432083,0.29740596,0.4,0.558411082,0.27,-0.24637553,0.14449209,-0.004187492,0.029740596,0.267665362,0.148702979,0.297,-4.010801403,3.940468366,-0.410362685,0.453463466,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-11-04_YC037_probe1,19-11-04_YC037,157,140.67,16.3,0,147.476,0.007,0,0.005,6.921,0.194,0.152,0.236,0.196,0.048,9.898,0.004,1.249,0.041082027,0.106792524,0.141604367,0.162489969,0.12150609,0.3,0.270295211,0.23,-0.08087245,0.009406135,-0.015045669,0.012150609,0.109355479,0.060753044,0.122,-4.643990945,4.436769267,-0.340009563,0.308506023,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
18-12-17_YC009_probe1,18-12-17_YC009,635,170.54,23.41,0,195.84,0.005,0,0.003,5.454,0.234,0.132,0.528,0.243,0.092,19.169,0.007,3.865,0.069302372,0.146038331,0.119526972,0.152584519,0.3346498,0.33,0.419180707,0.2,-0.033899974,0.0902136,0.011914723,0.03346498,0.301184821,0.167324901,0.335,-5.452009239,4.941744415,-0.629029976,0.332914814,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-22_YC022_probe1,19-10-22_YC022,270,93.34,9.98,0.02,124.693,0.008,0,0.004,6.734,0.509,0.443,0.629,0.549,0.304,41.304,0.026,1.601,0.055695134,0.123301661,0.109532505,0.150663279,0.34559804,0.3,0.371901158,0.2,-0.08480163,0.08793829,0.013804891,0.034559804,0.311038238,0.172799021,0.346,-4.967619145,5.81428423,-0.722047658,0.344430509,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,437,102.04,24.73,0,114.108,0.009,0,0.006,7.038,0.303,0.25,0.352,0.311,0.109,16.955,0.008,1.039,0.058575662,0.134196956,0.090040282,0.107976165,0.33003628,0.27,0.350559545,0.13,-0.07876215,0.020198377,0.011348371,0.033003628,0.297032654,0.165018141,0.33,-7.358586026,7.523427054,-0.753295255,0.28258494,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
