"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Cluster","Sample","Unit","Sample.1","Unit.1","RespPk","RespGo","RespGr","RespMF"
8.06,0.1,6.974,0.686,7.559,3,"18-08-30_YC001",125,"18-08-30_YC001",125,0,0,0,0
8.85,0.082,6.876,0.843,13.871,3,"18-08-30_YC001",155,"18-08-30_YC001",155,0,0,0,0
22.12,0.035,6.945,0.743,25.792,3,"18-08-30_YC001",159,"18-08-30_YC001",159,0,0,0,0
197.42,0.004,4.321,0.26,32.027,1,"18-08-30_YC001",177,"18-08-30_YC001",177,0,0,0,0
53.54,0.017,7.223,0.78,78.921,2,"18-08-30_YC001",188,"18-08-30_YC001",188,0,0,0,0
10.02,0.067,6.553,0.648,10.408,3,"18-08-30_YC001",190,"18-08-30_YC001",190,0,0,0,0
7.67,0.085,6.399,0.903,19.027,3,"18-08-30_YC001",194,"18-08-30_YC001",194,0,0,0,0
1.55,0.459,6.02,0.855,3.288,3,"18-08-30_YC001",195,"18-08-30_YC001",195,0,0,0,0
11.5,0.031,5.746,1.129,44.549,2,"18-08-30_YC001",198,"18-08-30_YC001",198,0,0,0,0
19.86,0.045,7.056,0.737,37.53,3,"18-08-30_YC001",200,"18-08-30_YC001",200,0,0,0,0
1.48,0.059,3.643,1.024,16.324,2,"18-08-30_YC001",201,"18-08-30_YC001",201,0,0,0,0
2.93,0.201,6.342,0.837,6.863,3,"18-08-30_YC001",204,"18-08-30_YC001",204,0,0,0,0
24.44,0.029,6.495,0.68,33.107,3,"18-08-30_YC001",205,"18-08-30_YC001",205,0,0,0,0
6.17,0.113,6.537,0.701,6.992,3,"18-08-30_YC001",206,"18-08-30_YC001",206,0,0,0,0
27.64,0.026,6.758,0.681,31.789,3,"18-08-30_YC001",209,"18-08-30_YC001",209,0,0,0,0
14.95,0.046,6.3,1.04,54.981,2,"18-08-30_YC001",221,"18-08-30_YC001",221,0,0,0,0
69.27,0.012,5.349,0.355,14.971,1,"18-08-30_YC001",227,"18-08-30_YC001",227,1,0,0,0
14.97,0.049,6.624,0.738,17.273,3,"18-08-30_YC001",258,"18-08-30_YC001",258,0,0,0,0
93.24,0.007,5.304,0.466,34.026,1,"18-08-30_YC001",267,"18-08-30_YC001",267,0,0,0,0
16,0.033,6.099,0.965,37.243,2,"18-08-30_YC001",291,"18-08-30_YC001",291,0,0,0,0
11.64,0.067,6.977,0.661,12.547,3,"18-08-30_YC001",292,"18-08-30_YC001",292,0,0,0,0
11.77,0.063,6.839,0.676,13.386,3,"18-08-30_YC001",302,"18-08-30_YC001",302,0,0,0,0
2.62,0.135,5.924,1.213,23.25,3,"18-08-30_YC001",396,"18-08-30_YC001",396,0,0,0,0
48.43,0.009,4.303,0.685,77.102,2,"18-08-30_YC001",398,"18-08-30_YC001",398,0,0,0,0
7.33,0.055,5.999,1.076,27.626,2,"18-08-30_YC001",48,"18-08-30_YC001",48,0,0,0,0
10.27,0.065,6.867,0.838,17.094,3,"18-08-30_YC001",70,"18-08-30_YC001",70,0,0,0,0
11.47,0.065,7.006,0.778,13.986,3,"18-08-30_YC001",76,"18-08-30_YC001",76,0,0,0,0
16.92,0.044,6.767,0.728,19.012,3,"18-08-30_YC001",78,"18-08-30_YC001",78,0,0,0,0
15.15,0.046,6.763,0.702,15.846,3,"18-08-30_YC001",99,"18-08-30_YC001",99,0,0,0,0
2.21,0.152,5.2,1.1,17.934,3,"18-08-30_YC002",10,"18-08-30_YC002",10,0,0,0,0
4.51,0.12,6.048,0.79,26.107,3,"18-08-30_YC002",103,"18-08-30_YC002",103,0,0,0,0
25.25,0.027,6.425,0.761,39.484,3,"18-08-30_YC002",106,"18-08-30_YC002",106,0,0,0,0
4.58,0.15,6.738,0.853,9.388,3,"18-08-30_YC002",12,"18-08-30_YC002",12,0,0,0,0
7.35,0.101,6.486,0.676,8.197,3,"18-08-30_YC002",129,"18-08-30_YC002",129,0,0,0,0
11.26,0.075,6.811,0.763,16.099,3,"18-08-30_YC002",140,"18-08-30_YC002",140,0,0,0,0
15.77,0.047,6.782,0.95,40.301,3,"18-08-30_YC002",144,"18-08-30_YC002",144,0,0,0,0
21.15,0.029,6.298,0.687,23.013,3,"18-08-30_YC002",147,"18-08-30_YC002",147,0,0,0,0
6.44,0.064,5.247,0.832,12.822,3,"18-08-30_YC002",149,"18-08-30_YC002",149,0,0,0,0
22.62,0.029,6.513,1.004,61.462,2,"18-08-30_YC002",153,"18-08-30_YC002",153,0,0,0,0
7.81,0.08,6.145,0.758,10.724,3,"18-08-30_YC002",157,"18-08-30_YC002",157,0,0,0,0
10.73,0.045,6.361,0.923,33.882,3,"18-08-30_YC002",158,"18-08-30_YC002",158,0,0,0,0
31.52,0.023,6.71,0.778,41.08,2,"18-08-30_YC002",16,"18-08-30_YC002",16,0,0,0,0
7.3,0.134,6.517,0.879,10.124,3,"18-08-30_YC002",163,"18-08-30_YC002",163,0,0,0,0
11.81,0.063,6.626,0.834,23.021,3,"18-08-30_YC002",169,"18-08-30_YC002",169,0,0,0,0
16.54,0.021,5.566,1.01,57.429,2,"18-08-30_YC002",170,"18-08-30_YC002",170,0,0,0,0
3.52,0.224,6.927,0.713,4.184,3,"18-08-30_YC002",180,"18-08-30_YC002",180,0,0,0,0
10.28,0.031,5.026,1.016,34.707,2,"18-08-30_YC002",255,"18-08-30_YC002",255,0,0,0,0
4.78,0.151,6.796,0.772,6.325,3,"18-08-30_YC002",330,"18-08-30_YC002",330,0,0,0,0
30.79,0.026,7.003,0.768,49.832,2,"18-08-30_YC002",35,"18-08-30_YC002",35,0,0,0,0
77.28,0.008,5.101,0.402,22.992,1,"18-08-30_YC002",37,"18-08-30_YC002",37,0,0,0,0
11.27,0.056,6.653,0.697,16.854,3,"18-08-30_YC002",72,"18-08-30_YC002",72,0,0,0,0
8.07,0.079,6.806,0.775,9.464,3,"18-08-30_YC002",86,"18-08-30_YC002",86,1,0,0,0
10.69,0.063,6.763,0.95,24.615,3,"18-08-30_YC002",94,"18-08-30_YC002",94,0,0,0,0
6.75,0.064,6.121,0.73,12.292,3,"18-08-30_YC002",95,"18-08-30_YC002",95,0,0,0,0
15.04,0.051,6.12,1.465,65.158,2,"18-08-31_YC003",0,"18-08-31_YC003",0,0,0,0,0
55.53,0.013,6.405,0.761,60.971,2,"18-08-31_YC003",102,"18-08-31_YC003",102,0,0,0,0
3.91,0.117,6.072,0.989,15.58,3,"18-08-31_YC003",132,"18-08-31_YC003",132,0,0,0,0
11.85,0.022,3.429,0.644,14.609,1,"18-08-31_YC003",152,"18-08-31_YC003",152,0,0,0,0
8.2,0.078,6.351,0.769,11.322,3,"18-08-31_YC003",160,"18-08-31_YC003",160,0,0,0,0
2.96,0.224,6.78,0.938,7.497,3,"18-08-31_YC003",162,"18-08-31_YC003",162,0,0,0,0
11.62,0.065,6.937,0.759,14.061,3,"18-08-31_YC003",169,"18-08-31_YC003",169,0,0,0,0
23.47,0.034,5.255,0.923,26.012,2,"18-08-31_YC003",170,"18-08-31_YC003",170,0,0,0,0
2.07,0.104,6.241,0.857,10.877,3,"18-08-31_YC003",173,"18-08-31_YC003",173,0,0,0,0
15.79,0.037,6.554,0.981,40.142,2,"18-08-31_YC003",181,"18-08-31_YC003",181,0,0,0,0
77.85,0.008,5.419,0.394,22.482,1,"18-08-31_YC003",184,"18-08-31_YC003",184,0,0,0,0
62.17,0.01,4.68,0.412,19.931,1,"18-08-31_YC003",186,"18-08-31_YC003",186,0,0,0,0
14.93,0.039,6.495,0.926,33.433,3,"18-08-31_YC003",189,"18-08-31_YC003",189,0,0,0,0
9.5,0.074,6.7,0.87,26.206,3,"18-08-31_YC003",190,"18-08-31_YC003",190,0,0,0,0
73.25,0.008,5.337,0.533,35.364,1,"18-08-31_YC003",194,"18-08-31_YC003",194,0,0,0,0
28.66,0.024,6.696,0.744,33.235,3,"18-08-31_YC003",196,"18-08-31_YC003",196,0,0,0,0
7.92,0.093,6.73,0.725,9.259,3,"18-08-31_YC003",208,"18-08-31_YC003",208,0,0,0,0
5.48,0.119,6.376,0.761,8.42,3,"18-08-31_YC003",209,"18-08-31_YC003",209,0,0,0,0
