Sample,Unit,PeakChUnit,SpikesUnit,GoodChunks,GoodChunksList,WvfChunks,WvfChunksList,SpikesBlock,PercMissingSpikesBlock,MFRBlockHz,MeanAmpBlock,RPVBlock,FpBlockFancy,FpBlockSimple,ACGViolationRatio,WvfPeaksBlock,PeaksBlock_x,PeaksBlock_y,BigPkNegBlock,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_LcV,tf_Si,tf_skw,wf_MaxAmpNorm,wf_MaxAmp,wf_MaxAmpTime,wf_MinAmpNorm,wf_MinAmp,wf_MinAmpTime,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_OnsetTime,wf_End,wf_EndTime,wf_Crossing,wf_CrossingTime,wf_Pk10,wf_Pk10Time,wf_Pk90,wf_Pk90Time,wf_Pk50,wf_Pk50Time1,wf_Pk50Time2,wf_Tr10,wf_Tr10Time,wf_Tr90,wf_Tr90Time,wf_Tr50,wf_Tr50Time1,wf_Tr50Time2,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_EndSlopeTau,key,ResponsiveUnit_-1,ResponsiveUnit_GrC,ResponsiveUnit_MF,ResponsiveUnit_Pk
18-08-30_YC001,115,169,17101,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[14, 15, 16]",17101,4,14.92,15.78,0,0,0,0,2,"[52, 40]","[37.271484, -74.51172]",1,23.48,0.058,0,0.016,7.11,0.543,0.481,0.64,0.589,0.329,9.805,-0.233,0.028,1.068,0.5875361,41.31,2.37,-1,-70.3,1.97,0.4,0.335085253,0.2,-0.039278317,1.53,0.058261223,2.83,-0.007732455,2.177847917,0.05875361,2.189022603,0.528782487,2.297248991,0.293768048,2.23,2.565085253,-0.1,2.160511474,-0.9,2.017852628,-0.5,1.9,2.1,0.588,-7.361966917,4.899495747,-1.453171559,0.108226388,0.180977397,0.142658846,0.190511474,0.202130627,18-08-30_YC001-115,1,0,0,0
18-08-30_YC001,125,174,8565,11,"[4, 5, 10, 11, 12, 13, 15, 16, 17, 18, 19]",2,"[10, 11]",5046,22,8.06,13.81,0,0,0,0,2,"[54, 40]","[32.469727, -55.163086]",1,12.769,0.1,0,0.03,6.974,0.686,0.644,0.685,0.773,0.498,7.559,-0.297,0.046,1.269,0.6841292,35.31,2.43,-1,-51.61,1.97,0.46,0.346177651,0.23,-0.07402082,1.53,0.07337131,2.9,0.016010856,2.238981085,0.068412918,2.250536384,0.615716261,2.373607423,0.342064589,2.3,2.646177651,-0.1,2.217352955,-0.9,2.070268274,-0.5,1.9,2.13,0.684,-6.732331627,4.430808305,-1.694039089,0.123071039,0.179463616,0.147084681,0.247352955,0.211143692,18-08-30_YC001-125,1,0,0,0
18-08-30_YC001,129,181,1586,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[1, 2, 3]",1586,0,1.37,38.45,0,0,0,0,2,"[40, 71]","[-137.01616, 44.43877]",1,11.045,0.632,2,0.08,7.245,0.909,0.878,0.697,1.234,0.86,3.751,-1.63,0.113,0.675,0.38701278,50.52,3,-1,-130.53,1.97,1.03,0.469393934,0.5,-0.019421048,1.5,-0.014180152,3.37,0.020699541,2.536183594,0.038701278,2.559750914,0.348311502,2.799650056,0.19350639,2.67,3.139393934,-0.1,2.485228938,-0.9,2.07950282,-0.5,1.8,2.3,0.387,-2.497912173,1.595502461,-1.206903419,0.239899143,0.440249086,0.405726118,0.515228938,0.131726134,18-08-30_YC001-129,1,0,0,0
18-08-30_YC001,130,181,1775,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[7, 8, 9]",1775,0,1.53,22.73,0,0,0,0,2,"[41, 73]","[-69.31519, 31.467758]",1,2.911,0.562,4,0.099,7.223,0.823,0.799,0.675,0.98,0.693,2.824,-1.159,0.07,0.765,0.52448875,34.52,3.07,-1,-65.81,2.03,1.04,0.472510361,0.57,-0.074863955,1.73,0.050522894,3.53,-0.014980196,2.676597808,0.052448875,2.702340811,0.472039872,2.970790901,0.262244374,2.8,3.272510361,-0.1,2.642761545,-0.9,2.116085822,-0.5,1.8,2.37,0.524,-0.878011383,1.625944512,-1.354067386,0.26845009,0.367659189,0.526675723,0.612761545,0.179363475,18-08-30_YC001-130,1,0,0,0
18-08-30_YC001,133,183,1667,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",1667,0,1.43,32.93,0,0,0,0,2,"[41, 69]","[-113.318016, 32.70245]",1,2.697,0.614,5,0.109,7.245,0.819,0.772,0.645,0.981,0.692,2.626,-1.293,0.071,0.686,0.3215859,35.43,2.93,-1,-110.16,2,0.93,0.451646804,0.5,-0.010852764,1.77,0.05352391,3.4,0.007018354,2.60664583,0.032158589,2.625346226,0.289427304,2.833194603,0.160792947,2.7,3.151646804,-0.1,2.553335753,-0.9,2.112335011,-0.5,1.83,2.33,0.322,-2.436060128,1.661047769,-0.73527939,0.207848378,0.304653774,0.441000742,0.553335753,0.218576562,18-08-30_YC001-133,1,0,0,0
18-08-30_YC001,134,185,2076,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",2076,0,1.78,24.82,0,0,0,0,2,"[41, 31]","[-73.5705, 26.114431]",1,16.488,0.497,1,0.067,7.225,0.901,0.864,0.689,1.26,0.85,4.79,-1.233,0.12,0.666,0.32422087,24.4,1.67,-1,-75.25,2,0.33,0.13,0.54,0.043718398,1.53,0.099403456,3.4,0.015030582,1.752591946,0.032422087,1.752591946,0.291798779,1.587591946,0.162110433,1.6,1.73,-0.1,1.768273735,-0.9,1.899930682,-0.5,1.83,2.37,0.324,-5.079260728,1.261978419,-0.362495185,0.165,0.082591946,0.131656947,0.231726265,0.277897658,18-08-30_YC001-134,1,0,0,0
18-08-30_YC001,135,186,1617,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[11, 12, 13]",1617,0,1.38,24.98,0,0,0,0,2,"[42, 33]","[-80.12247, 24.053673]",1,2.532,0.634,3,0.119,7.273,0.81,0.791,0.641,0.966,0.684,2.528,-1.35,0.069,0.648,0.31969607,25.28,1.73,-1,-79.08,2.03,0.3,0.17,0.4,0.013411393,1.53,-0.11018948,3.33,-0.012504225,1.815024403,0.031969607,1.815024403,0.287726462,1.665024403,0.159848034,1.63,1.8,-0.1,1.83000697,-0.9,1.954482684,-0.5,1.9,2.3,0.32,-5.502195753,1.97548723,-0.382107329,0.15,0.085024403,0.124475714,0.19999303,0.213775461,18-08-30_YC001-135,1,0,0,0
18-08-30_YC001,137,190,1907,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[8, 9, 10]",1907,0,1.64,33.08,0,0,0,0,2,"[64, 36]","[34.089817, -114.06031]",1,2.972,0.545,3,0.1,7.263,0.801,0.765,0.634,0.951,0.669,2.81,-1.048,0.067,0.626,0.3376203,37.34,2.77,-1,-110.58,1.83,0.94,0.448605361,0.46,-0.021394506,1.53,0.023583025,3.23,0.003333041,2.407552615,0.033762029,2.431799681,0.303858259,2.704568496,0.168810144,2.53,2.978605361,-0.1,2.340384752,-0.9,1.918308849,-0.5,1.67,2.13,0.338,-2.968128882,1.583872853,-0.908829772,0.272768815,0.338200319,0.422075903,0.510384752,0.182312421,18-08-30_YC001-137,1,0,0,0
18-08-30_YC001,139,186,1728,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[2, 3, 4]",1728,1,1.49,21.56,0,0,0,0,2,"[74, 39]","[34.20708, -76.44088]",1,5.84,0.565,1,0.093,7.184,0.868,0.832,0.701,1.098,0.776,3.287,-1.327,0.089,0.814,0.4622729,34.83,3.1,-1,-75.35,1.93,1.17,0.451460667,0.5,-0.008770889,1.53,-0.009273547,3.57,-0.031688262,2.743408996,0.046227291,2.778957675,0.416045621,3.040834268,0.231136456,2.9,3.351460667,-0.1,2.677086821,-0.9,2.022562199,-0.5,1.77,2.27,0.462,-2.291797576,1.241816104,-0.909336163,0.261876593,0.321042325,0.654524622,0.747086821,0.193659341,18-08-30_YC001-139,1,0,0,0
18-08-30_YC001,149,190,1914,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[13, 14, 15]",1914,0,1.65,45.36,0,0,0,0,2,"[40, 68]","[-283.49, 80.07256]",1,3.041,0.524,1,0.103,7.216,0.81,0.799,0.67,0.959,0.676,2.842,-1.03,0.067,0.768,0.29219908,82.19,2.9,-1,-281.28,1.97,0.93,0.559672469,0.4,-0.012939923,1.63,0.043323115,3.37,0.001530526,2.52581359,0.029219908,2.546469046,0.262979168,2.776549556,0.146099538,2.63,3.189672469,-0.1,2.464696074,-0.9,2.070633809,-0.5,1.83,2.23,0.292,-3.610751341,1.59802046,-0.483836021,0.23008051,0.353530954,0.394062266,0.494696074,0.263584422,18-08-30_YC001-149,1,0,0,0
