"ACG_0","ACG_1","ACG_2","ACG_3","ACG_4","ACG_5","ACG_6","ACG_7","ACG_8","ACG_9","ACG_10","ACG_11","ACG_12","ACG_13","ACG_14","ACG_15","ACG_16","ACG_17","ACG_18","ACG_19","ACG_20","ACG_21","ACG_22","ACG_23","ACG_24","ACG_25","ACG_26","ACG_27","ACG_28","ACG_29","ACG_30","ACG_31","ACG_32","ACG_33","ACG_34","ACG_35","ACG_36","ACG_37","ACG_38","ACG_39","ACG_40","ACG_41","ACG_42","ACG_43","ACG_44","ACG_45","ACG_46","ACG_47","ACG_48","ACG_49","ACG_50","ACG_51","ACG_52","ACG_53","ACG_54","ACG_55","ACG_56","ACG_57","ACG_58","ACG_59","ACG_60","ACG_61","ACG_62","ACG_63","ACG_64","ACG_65","ACG_66","ACG_67","ACG_68","ACG_69","ACG_70","ACG_71","ACG_72","ACG_73","ACG_74","ACG_75","ACG_76","ACG_77","ACG_78","ACG_79","ACG_81","ACG_82","ACG_83","ACG_84","ACG_85","ACG_86","ACG_87","ACG_88","ACG_89","ACG_90","ACG_91","ACG_92","ACG_93","ACG_94","ACG_95","ACG_96","ACG_97","ACG_98","ACG_99","ACG_100","ACG_101","ACG_102","ACG_103","ACG_104","ACG_105","ACG_106","ACG_107","ACG_108","ACG_109","ACG_110","ACG_111","ACG_112","ACG_113","ACG_114","ACG_115","ACG_116","ACG_117","ACG_118","ACG_119","ACG_120","ACG_121","ACG_122","ACG_123","ACG_124","ACG_125","ACG_126","ACG_127","ACG_128","ACG_129","ACG_130","ACG_131","ACG_132","ACG_133","ACG_134","ACG_135","ACG_136","ACG_137","ACG_138","ACG_139","ACG_140","ACG_141","ACG_142","ACG_143","ACG_144","ACG_145","ACG_146","ACG_147","ACG_148","ACG_149","ACG_150","ACG_151","ACG_152","ACG_153","ACG_154","ACG_155","ACG_156","ACG_157","ACG_158","ACG_159","ACG_160","RefPeriod","Sample","Unit","ClusterACG"
0.975757575757576,0.739393939393939,0.963636363636364,0.878787878787879,0.993939393939394,0.951515151515152,0.745454545454545,0.83030303030303,0.806060606060606,0.836363636363636,0.775757575757576,0.733333333333333,0.793939393939394,0.751515151515151,0.660606060606061,0.690909090909091,0.842424242424242,0.903030303030303,0.733333333333333,0.757575757575758,0.927272727272727,0.781818181818182,0.666666666666667,1,0.751515151515151,0.963636363636364,0.690909090909091,0.775757575757576,0.751515151515151,0.624242424242424,0.878787878787879,0.690909090909091,0.721212121212121,0.8,0.781818181818182,0.709090909090909,0.606060606060606,0.672727272727273,0.866666666666667,0.648484848484848,0.666666666666667,0.648484848484848,0.690909090909091,0.642424242424242,0.678787878787879,0.648484848484848,0.551515151515152,0.490909090909091,0.563636363636364,0.593939393939394,0.424242424242424,0.527272727272727,0.472727272727273,0.496969696969697,0.436363636363636,0.442424242424242,0.436363636363636,0.381818181818182,0.436363636363636,0.327272727272727,0.284848484848485,0.236363636363636,0.333333333333333,0.309090909090909,0.278787878787879,0.260606060606061,0.2,0.163636363636364,0.109090909090909,0.127272727272727,0.0787878787878788,0.0545454545454545,0.0484848484848485,0.0303030303030303,0,0,0.00606060606060606,0,0,0,0,0,0,0.00606060606060606,0,0,0.0303030303030303,0.0484848484848485,0.0545454545454545,0.0787878787878788,0.127272727272727,0.109090909090909,0.163636363636364,0.2,0.260606060606061,0.278787878787879,0.309090909090909,0.333333333333333,0.236363636363636,0.284848484848485,0.327272727272727,0.436363636363636,0.381818181818182,0.436363636363636,0.442424242424242,0.436363636363636,0.496969696969697,0.472727272727273,0.527272727272727,0.424242424242424,0.593939393939394,0.563636363636364,0.490909090909091,0.551515151515152,0.648484848484848,0.678787878787879,0.642424242424242,0.690909090909091,0.648484848484848,0.666666666666667,0.648484848484848,0.866666666666667,0.672727272727273,0.606060606060606,0.709090909090909,0.781818181818182,0.8,0.721212121212121,0.690909090909091,0.878787878787879,0.624242424242424,0.751515151515151,0.775757575757576,0.690909090909091,0.963636363636364,0.751515151515151,1,0.666666666666667,0.781818181818182,0.927272727272727,0.757575757575758,0.733333333333333,0.903030303030303,0.842424242424242,0.690909090909091,0.660606060606061,0.751515151515151,0.793939393939394,0.733333333333333,0.775757575757576,0.836363636363636,0.806060606060606,0.83030303030303,0.745454545454545,0.951515151515152,0.993939393939394,0.878787878787879,0.963636363636364,0.739393939393939,0.975757575757576,0,"18-08-30_YC001_probe1","115",1
0.575,0.75,0.45,1,0.925,0.675,0.75,0.425,0.625,0.75,0.725,0.475,0.65,0.55,0.7,0.3,0.575,0.525,0.625,0.475,0.625,0.45,0.525,0.65,0.4,0.7,0.5,0.3,0.45,0.375,0.5,0.5,0.35,0.25,0.4,0.425,0.275,0.325,0.35,0.25,0.25,0.425,0.3,0.325,0.225,0.25,0.225,0.225,0.3,0.25,0.125,0.25,0.175,0.2,0.175,0.075,0.175,0.125,0.1,0.075,0.05,0.1,0.125,0.075,0.1,0.025,0,0.025,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,0,0.025,0.1,0.075,0.125,0.1,0.05,0.075,0.1,0.125,0.175,0.075,0.175,0.2,0.175,0.25,0.125,0.25,0.3,0.225,0.225,0.25,0.225,0.325,0.3,0.425,0.25,0.25,0.35,0.325,0.275,0.425,0.4,0.25,0.35,0.5,0.5,0.375,0.45,0.3,0.5,0.7,0.4,0.65,0.525,0.45,0.625,0.475,0.625,0.525,0.575,0.3,0.7,0.55,0.65,0.475,0.725,0.75,0.625,0.425,0.75,0.675,0.925,1,0.45,0.75,0.575,0,"18-08-30_YC001_probe1","125",1
0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0.0357142857142857,0,0.892857142857143,1,0,0,0,0,1,0.892857142857143,0,0.0357142857142857,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,"18-08-30_YC001_probe1","129",2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.9,0,0,0.9,1,0,0,0,0,1,0.9,0,0,0.9,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18-08-30_YC001_probe1","130",2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111,0.888888888888889,1,0,0,0,0,1,0.888888888888889,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18-08-30_YC001_probe1","133",2
0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0.0131578947368421,0,0,0,0,0,0,0.105263157894737,1,0.157894736842105,0,0,0,0,0.157894736842105,1,0.105263157894737,0,0,0,0,0,0,0.0131578947368421,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,"18-08-30_YC001_probe1","134",2
0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,"18-08-30_YC001_probe1","135",2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.28,1,0,0,0,0,1,0.28,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18-08-30_YC001_probe1","137",2
0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0.0512820512820513,0,0,0,0,0,0,0.0256410256410256,0,0,0.0256410256410256,0,0,0,0,0,0,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0,0.0256410256410256,1,0.102564102564103,0,0,0,0,0.102564102564103,1,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0,0.0256410256410256,0,0,0,0,0,0,0.0256410256410256,0,0,0.0256410256410256,0,0,0,0,0,0,0.0512820512820513,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,"18-08-30_YC001_probe1","139",2
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"18-08-30_YC001_probe1","149",2
