"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","Cluster"
8.06,0.1,6.974,0.686,7.559,"18-08-30_YC001",125,0,0,0,0,0,0.123071039,0.179463616,0.147084681,0.247352955,0.6841292,0.46,0.346177651,0.23,-0.07402082,0.07337131,0.016010856,0.068412918,0.615716261,0.342064589,0.684,-6.732331627,4.430808305,-1.694039089,1
1.78,0.497,7.225,0.901,4.79,"18-08-30_YC001",134,0,0,0,0,0,0.165,0.082591946,0.131656947,0.231726265,0.32422087,0.33,0.13,0.54,0.043718398,0.099403456,0.015030582,0.032422087,0.291798779,0.162110433,0.324,-5.079260728,1.261978419,-0.362495185,1
8.85,0.082,6.876,0.843,13.871,"18-08-30_YC001",155,0,0,0,0,0,0.081115226,0.149974934,0.09255543,0.129061655,0.7017148,0.3,0.270959612,0.2,-0.05793765,0.03602525,0.016631407,0.070171481,0.631543332,0.350857407,0.702,-5.07039158,7.253915814,-1.959743478,1
22.12,0.035,6.945,0.743,25.792,"18-08-30_YC001",159,0,0,0,0,0,0.040581149,0.078876696,0.09679292,0.132730819,0.2672116,0.23,0.229415468,0.17,-0.010793642,0.052372634,-0.00674918,0.026721159,0.240490428,0.133605793,0.267,-7.849129252,6.837651542,-0.704889199,1
53.54,0.017,7.223,0.78,78.921,"18-08-30_YC001",188,0,0,0,0,0,0.032749511,0.062829953,0.061299349,0.086321098,0.4086336,0.16,0.129308613,0.1,-0.008663288,-0.005661028,-0.019795055,0.040863359,0.367770231,0.204316795,0.409,-7.4377479,11.14196457,-1.356381845,2
10.02,0.067,6.553,0.648,10.408,"18-08-30_YC001",190,0,0,0,0,0,0.070489414,0.152023367,0.081065421,0.097033304,0.55414176,0.27,0.311137616,0.14,-0.001838371,-0.007348546,0.035909142,0.055414176,0.498727584,0.27707088,0.554,-10.79172692,7.270726769,-1.626006938,1
7.67,0.085,6.399,0.903,19.027,"18-08-30_YC001",194,0,0,0,0,0,0.043924904,0.09802747,0.095677066,0.112866895,0.27081868,0.23,0.217295589,0.1,-0.010452434,0.014964676,0.003041025,0.027081868,0.243736812,0.13540934,0.271,-16.17726245,5.817393462,-0.759657819,1
1.55,0.459,6.02,0.855,3.288,"18-08-30_YC001",195,0,0,0,0,0,0.197715905,0.262982354,0.262046507,0.357399219,0.54426706,0.67,0.50789657,0.5,-0.17880653,0.13388374,0.020358799,0.054426706,0.489840353,0.272133529,0.544,-1.593109485,2.725822242,-0.940278556,1
11.5,0.031,5.746,1.129,44.549,"18-08-30_YC001",198,0,0,0,0,0,0.053737167,0.07005204,0.066445936,0.074951106,0.4440142,0.16,0.145709897,0.12,-0.008101095,0.01030984,-0.014050978,0.044401419,0.399612772,0.222007096,0.444,-8.832412431,10.40264235,-1.477645268,2
19.86,0.045,7.056,0.737,37.53,"18-08-30_YC001",200,0,0,0,0,0,0.058612158,0.079897134,0.053307722,0.059587644,0.29538584,0.16,0.142897174,0.07,-0.006279357,0.015006839,-0.008572921,0.029538584,0.265847254,0.147692919,0.295,-16.17080705,15.09808836,-1.241719661,1
