"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
14.92,0.058,7.11,0.543,9.805,"18-08-30_YC001_probe1",115,0,0,0,0,0,"MLI",1
8.06,0.1,6.974,0.686,7.559,"18-08-30_YC001_probe1",125,0,0,0,0,0,"MLI",1
1.78,0.497,7.225,0.901,4.79,"18-08-30_YC001_probe1",134,0,0,0,0,0,"Gr",2
8.85,0.082,6.876,0.843,13.871,"18-08-30_YC001_probe1",155,0,0,0,0,0,"MLI",1
22.12,0.035,6.945,0.743,25.792,"18-08-30_YC001_probe1",159,0,0,0,0,0,"MLI",1
53.54,0.017,7.223,0.78,78.921,"18-08-30_YC001_probe1",188,0,0,0,0,0,"GoMF",3
13.45,0.064,6.446,0.434,4.762,"18-08-30_YC001_probe1",189,0,0,0,0,0,"MLI",1
10.02,0.067,6.553,0.648,10.408,"18-08-30_YC001_probe1",190,0,0,0,0,0,"MLI",1
7.67,0.085,6.399,0.903,19.027,"18-08-30_YC001_probe1",194,0,0,0,0,0,"MLI",1
1.55,0.459,6.02,0.855,3.288,"18-08-30_YC001_probe1",195,0,0,0,0,0,"Gr",2
11.5,0.031,5.746,1.129,44.549,"18-08-30_YC001_probe1",198,0,0,0,0,0,"GoMF",3
19.86,0.045,7.056,0.737,37.53,"18-08-30_YC001_probe1",200,0,0,0,0,0,"MLI",1
1.48,0.059,3.643,1.024,16.324,"18-08-30_YC001_probe1",201,0,0,0,0,0,"GoMF",3
2.93,0.201,6.342,0.837,6.863,"18-08-30_YC001_probe1",204,0,0,0,0,0,"Gr",2
24.44,0.029,6.495,0.68,33.107,"18-08-30_YC001_probe1",205,0,0,0,0,0,"MLI",1
6.17,0.113,6.537,0.701,6.992,"18-08-30_YC001_probe1",206,0,0,0,0,0,"MLI",1
27.64,0.026,6.758,0.681,31.789,"18-08-30_YC001_probe1",209,0,0,0,0,0,"MLI",1
14.95,0.046,6.3,1.04,54.981,"18-08-30_YC001_probe1",221,0,0,0,0,0,"GoMF",3
69.27,0.012,5.349,0.355,14.971,"18-08-30_YC001_probe1",227,1,0,0,0,0,"Unknown",4
0.72,0.697,4.75,0.772,3.562,"18-08-30_YC001_probe1",24,0,0,0,0,0,"Gr",2
23.35,0.033,6.899,0.62,16.726,"18-08-30_YC001_probe1",241,0,0,0,0,0,"MLI",1
14.97,0.049,6.624,0.738,17.273,"18-08-30_YC001_probe1",258,0,0,0,0,0,"MLI",1
93.24,0.007,5.304,0.466,34.026,"18-08-30_YC001_probe1",267,0,0,0,0,0,"Unknown",4
18.64,0.048,7.182,0.48,8.673,"18-08-30_YC001_probe1",288,0,0,0,0,0,"MLI",1
16,0.033,6.099,0.965,37.243,"18-08-30_YC001_probe1",291,0,0,0,0,0,"MLI",1
11.64,0.067,6.977,0.661,12.547,"18-08-30_YC001_probe1",292,0,0,0,0,0,"MLI",1
11.77,0.063,6.839,0.676,13.386,"18-08-30_YC001_probe1",302,0,0,0,0,0,"MLI",1
27.51,0.03,6.623,0.513,16.924,"18-08-30_YC001_probe1",369,0,0,0,0,0,"MLI",1
2.62,0.135,5.924,1.213,23.25,"18-08-30_YC001_probe1",396,0,0,0,0,0,"Gr",2
48.43,0.009,4.303,0.685,77.102,"18-08-30_YC001_probe1",398,0,0,0,0,0,"GoMF",3
15.01,0.055,7.053,0.505,8.559,"18-08-30_YC001_probe1",399,0,0,0,0,0,"MLI",1
24.47,0.037,7.173,0.579,16.792,"18-08-30_YC001_probe1",45,0,0,0,0,0,"MLI",1
12.06,0.068,6.948,0.61,8.421,"18-08-30_YC001_probe1",46,0,0,0,0,0,"MLI",1
7.33,0.055,5.999,1.076,27.626,"18-08-30_YC001_probe1",48,0,0,0,0,0,"MLI",1
