MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,SampleP,Sample,Unit,RespPk,RespGo,RespGr,RespMF,RespMLI,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_ModeIsi,tf_Perc5Isi,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_Si,tf_skw,wf_EndSlopeTau
14.92,0.058,7.11,0.543,9.805,18-08-30_YC001,18-08-30_YC001_probe1,115,0,0,0,0,0,0.108226388,0.180977397,0.142658846,0.190511474,0.5875361,0.4,0.335085253,0.2,-0.039278317,0.058261223,-0.007732455,0.05875361,0.528782487,0.293768048,0.588,-7.361966917,4.899495747,-1.453171559,1,,1,Purkinke,15.78,0,23.48,0,0.016,0.481,0.64,0.589,0.329,0.028,1.068,0.202130627
8.06,0.1,6.974,0.686,7.559,18-08-30_YC001,18-08-30_YC001_probe1,125,0,0,0,0,0,0.123071039,0.179463616,0.147084681,0.247352955,0.6841292,0.46,0.346177651,0.23,-0.07402082,0.07337131,0.016010856,0.068412918,0.615716261,0.342064589,0.684,-6.732331627,4.430808305,-1.694039089,2,1,3,Potentially MLI,13.81,0,12.769,0,0.03,0.644,0.685,0.773,0.498,0.046,1.269,0.211143692
1.37,0.632,7.245,0.909,3.751,18-08-30_YC001,18-08-30_YC001_probe1,129,0,0,0,0,0,0.239899143,0.440249086,0.405726118,0.515228938,0.38701278,1.03,0.469393934,0.5,-0.019421048,-0.014180152,0.020699541,0.038701278,0.348311502,0.19350639,0.387,-2.497912173,1.595502461,-1.206903419,3,,2,Complex Spike,38.45,0,11.045,2,0.08,0.878,0.697,1.234,0.86,0.113,0.675,0.131726134
1.53,0.562,7.223,0.823,2.824,18-08-30_YC001,18-08-30_YC001_probe1,130,0,0,0,0,0,0.26845009,0.367659189,0.526675723,0.612761545,0.52448875,1.04,0.472510361,0.57,-0.074863955,0.050522894,-0.014980196,0.052448875,0.472039872,0.262244374,0.524,-0.878011383,1.625944512,-1.354067386,3,,2,Complex Spike,22.73,0,2.911,4,0.099,0.799,0.675,0.98,0.693,0.07,0.765,0.179363475
1.43,0.614,7.245,0.819,2.626,18-08-30_YC001,18-08-30_YC001_probe1,133,0,0,0,0,0,0.207848378,0.304653774,0.441000742,0.553335753,0.3215859,0.93,0.451646804,0.5,-0.010852764,0.05352391,0.007018354,0.032158589,0.289427304,0.160792947,0.322,-2.436060128,1.661047769,-0.73527939,3,,2,Complex Spike,32.93,0,2.697,5,0.109,0.772,0.645,0.981,0.692,0.071,0.686,0.218576562
1.78,0.497,7.225,0.901,4.79,18-08-30_YC001,18-08-30_YC001_probe1,134,0,0,0,0,0,0.165,0.082591946,0.131656947,0.231726265,0.32422087,0.33,0.13,0.54,0.043718398,0.099403456,0.015030582,0.032422087,0.291798779,0.162110433,0.324,-5.079260728,1.261978419,-0.362495185,2,2,4,Granule,24.82,0,16.488,1,0.067,0.864,0.689,1.26,0.85,0.12,0.666,0.277897658
1.38,0.634,7.273,0.81,2.528,18-08-30_YC001,18-08-30_YC001_probe1,135,0,0,0,0,0,0.15,0.085024403,0.124475714,0.19999303,0.31969607,0.3,0.17,0.4,0.013411393,-0.11018948,-0.012504225,0.031969607,0.287726462,0.159848034,0.32,-5.502195753,1.97548723,-0.382107329,3,,2,Complex Spike,24.98,0,2.532,3,0.119,0.791,0.641,0.966,0.684,0.069,0.648,0.213775461
1.64,0.545,7.263,0.801,2.81,18-08-30_YC001,18-08-30_YC001_probe1,137,0,0,0,0,0,0.272768815,0.338200319,0.422075903,0.510384752,0.3376203,0.94,0.448605361,0.46,-0.021394506,0.023583025,0.003333041,0.033762029,0.303858259,0.168810144,0.338,-2.968128882,1.583872853,-0.908829772,3,,2,Complex Spike,33.08,0,2.972,3,0.1,0.765,0.634,0.951,0.669,0.067,0.626,0.182312421
1.49,0.565,7.184,0.868,3.287,18-08-30_YC001,18-08-30_YC001_probe1,139,0,0,0,0,0,0.261876593,0.321042325,0.654524622,0.747086821,0.4622729,1.17,0.451460667,0.5,-0.008770889,-0.009273547,-0.031688262,0.046227291,0.416045621,0.231136456,0.462,-2.291797576,1.241816104,-0.909336163,3,,2,Complex Spike,21.56,0,5.84,1,0.093,0.832,0.701,1.098,0.776,0.089,0.814,0.193659341
1.65,0.524,7.216,0.81,2.842,18-08-30_YC001,18-08-30_YC001_probe1,149,0,0,0,0,0,0.23008051,0.353530954,0.394062266,0.494696074,0.29219908,0.93,0.559672469,0.4,-0.012939923,0.043323115,0.001530526,0.029219908,0.262979168,0.146099538,0.292,-3.610751341,1.59802046,-0.483836021,3,,2,Complex Spike,45.36,0,3.041,1,0.103,0.799,0.67,0.959,0.676,0.067,0.768,0.263584422
1.4,0.625,7.216,0.812,2.567,18-08-30_YC001,18-08-30_YC001_probe1,154,0,0,0,0,0,0.137176905,0.197587087,0.336305646,0.412851314,0.23298652,0.67,0.491344635,0.44,-0.029812427,0.082147785,-0.008845043,0.023298652,0.209687872,0.116493262,0.233,-2.308530816,2.143777515,-0.161890625,3,,2,Complex Spike,24.38,0,2.601,4,0.118,0.763,0.658,0.972,0.691,0.07,0.733,0.327519693
