"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
1.37,0.632,7.245,0.909,3.751,"18-08-30_YC001_probe1","129",2
1.53,0.562,7.223,0.823,2.824,"18-08-30_YC001_probe1","130",2
1.43,0.614,7.245,0.819,2.626,"18-08-30_YC001_probe1","133",2
1.38,0.634,7.273,0.81,2.528,"18-08-30_YC001_probe1","135",2
1.64,0.545,7.263,0.801,2.81,"18-08-30_YC001_probe1","137",2
1.49,0.565,7.184,0.868,3.287,"18-08-30_YC001_probe1","139",2
1.65,0.524,7.216,0.81,2.842,"18-08-30_YC001_probe1","149",2
1.4,0.625,7.216,0.812,2.567,"18-08-30_YC001_probe1","154",2
1.2,0.723,7.175,0.796,2.185,"18-08-30_YC001_probe1","156",2
1.46,0.598,7.26,0.778,2.447,"18-08-30_YC001_probe1","158",2
1.3,0.686,7.266,0.81,2.385,"18-08-30_YC001_probe1","162",2
1.41,0.614,7.192,0.813,2.637,"18-08-30_YC001_probe1","163",2
0.81,0.771,5.924,0.893,2.474,"18-08-30_YC001_probe1","193",2
1.22,0.7,7.212,0.832,2.401,"18-08-30_YC001_probe1","20",2
1.49,0.577,7.221,0.774,2.4,"18-08-30_YC001_probe1","230",2
1.92,0.446,7.176,0.756,2.77,"18-08-30_YC001_probe1","233",2
1.47,0.595,7.23,0.742,2.161,"18-08-30_YC001_probe1","234",2
1.08,0.786,7.111,0.782,1.889,"18-08-30_YC001_probe1","235",2
1.41,0.613,7.211,0.756,2.144,"18-08-30_YC001_probe1","238",2
1.58,0.513,7.111,0.797,2.637,"18-08-30_YC001_probe1","239",2
1.54,0.544,7.204,0.77,2.33,"18-08-30_YC001_probe1","240",2
1.23,0.699,7.153,0.768,2.019,"18-08-30_YC001_probe1","242",2
1.11,0.778,7.157,0.783,1.959,"18-08-30_YC001_probe1","245",2
1.43,0.6,7.239,0.822,2.571,"18-08-30_YC001_probe1","254",2
1.21,0.703,7.122,0.746,1.891,"18-08-30_YC001_probe1","256",2
1.47,0.577,7.113,0.826,2.7,"18-08-30_YC001_probe1","26",2
1.43,0.603,7.231,0.772,2.292,"18-08-30_YC001_probe1","261",2
1.02,0.832,7.179,0.829,2.07,"18-08-30_YC001_probe1","27",2
0.4,1.622,5.538,0.981,1.795,"18-08-30_YC001_probe1","44",2
1.49,0.559,7.1,0.782,2.428,"18-08-30_YC001_probe1","465",2
1.33,0.657,7.256,0.822,2.542,"18-08-30_YC001_probe1","494",2
1.3,0.656,7.167,0.768,2.163,"18-08-30_YC001_probe1","69",2
1.02,0.867,7.202,0.845,2.501,"18-08-30_YC001_probe1","71",2
1.5,0.579,7.187,0.82,2.781,"18-08-30_YC001_probe1","82",2
1.6,0.538,7.208,0.779,2.589,"18-08-30_YC001_probe1","86",2
1.34,0.633,7.084,0.805,2.328,"18-08-30_YC001_probe1","89",2
1.61,0.525,7.147,0.814,2.808,"18-08-30_YC001_probe1","93",2
0.35,1.801,5.281,0.983,2.709,"18-08-30_YC002_probe1","21",2
1.37,0.661,7.206,0.599,1.329,"18-08-30_YC002_probe1","272",2
1.75,0.505,7.254,0.722,2.253,"18-08-30_YC002_probe1","275",2
1.94,0.458,7.23,0.719,2.439,"18-08-30_YC002_probe1","39",2
1.6,0.561,7.237,0.708,2.041,"18-08-30_YC002_probe1","41",2
2.13,0.419,7.22,0.698,2.485,"18-08-30_YC002_probe1","51",2
2,0.446,7.223,0.716,2.434,"18-08-30_YC002_probe1","59",2
1.63,0.552,7.233,0.754,2.483,"18-08-30_YC002_probe1","60",2
1.46,0.583,7.183,0.787,2.441,"18-08-31_YC003_probe1","122",2
1.77,0.504,7.286,0.786,2.834,"18-08-31_YC003_probe1","124",2
1.7,0.489,7.2,0.819,2.957,"18-08-31_YC003_probe1","127",2
1.44,0.636,7.291,0.771,2.325,"18-08-31_YC003_probe1","133",2
1.65,0.54,7.304,0.757,2.483,"18-08-31_YC003_probe1","134",2
1.84,0.479,7.269,0.746,2.658,"18-08-31_YC003_probe1","135",2
1.52,0.578,7.225,0.806,2.62,"18-08-31_YC003_probe1","137",2
1.03,0.898,7.342,0.739,1.752,"18-08-31_YC003_probe1","139",2
1.49,0.578,7.196,0.77,2.402,"18-08-31_YC003_probe1","187",2
0.87,0.857,4.882,1.122,3.226,"18-08-31_YC003_probe1","224",2
1.83,0.438,7.077,0.791,2.942,"18-08-31_YC003_probe1","232",2
1.4,0.605,7.151,0.771,2.273,"18-08-31_YC003_probe1","277",2
0.38,1.868,6.013,1.182,4.614,"18-08-31_YC003_probe1","343",2
0.94,0.796,6.655,0.976,3.658,"18-08-31_YC003_probe1","355",2
1,0.841,7.112,0.837,2.191,"18-08-31_YC003_probe1","381",2
0.74,0.857,6.408,1.1,4.8,"18-08-31_YC003_probe1","457",2
1.17,0.76,7.194,0.769,2.106,"18-08-31_YC003_probe1","560",2
0.5,1.132,5.753,1.012,3.726,"18-08-31_YC004_probe1","102",2
0.85,0.848,5.723,1.06,6.368,"18-08-31_YC004_probe1","28",2
0.48,1.736,4.107,0.896,1.937,"18-08-31_YC004_probe1","63",2
1.3,0.629,7.096,0.797,2.346,"18-08-31_YC004_probe1","90",2
1.02,0.878,7.045,0.815,1.998,"18-08-31_YC004_probe1","92",2
1.22,0.721,7.24,0.774,2.141,"18-09-03_YC005_probe1","115",2
1.58,0.552,7.185,0.783,2.643,"18-09-03_YC005_probe1","117",2
1.28,0.66,7.167,0.842,2.704,"18-09-03_YC005_probe1","120",2
1.32,0.677,7.212,0.786,2.26,"18-09-03_YC005_probe1","121",2
1.29,0.681,7.156,0.821,2.436,"18-09-03_YC005_probe1","123",2
