"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","Cluster"
14.92,0.058,7.11,0.543,9.805,"18-08-30_YC001",115,0,0,0,0,0,1
8.06,0.1,6.974,0.686,7.559,"18-08-30_YC001",125,0,0,0,0,0,2
1.37,0.632,7.245,0.909,3.751,"18-08-30_YC001",129,0,0,0,0,0,3
1.53,0.562,7.223,0.823,2.824,"18-08-30_YC001",130,0,0,0,0,0,3
1.43,0.614,7.245,0.819,2.626,"18-08-30_YC001",133,0,0,0,0,0,3
1.78,0.497,7.225,0.901,4.79,"18-08-30_YC001",134,0,0,0,0,0,2
1.38,0.634,7.273,0.81,2.528,"18-08-30_YC001",135,0,0,0,0,0,3
1.64,0.545,7.263,0.801,2.81,"18-08-30_YC001",137,0,0,0,0,0,3
1.49,0.565,7.184,0.868,3.287,"18-08-30_YC001",139,0,0,0,0,0,3
1.65,0.524,7.216,0.81,2.842,"18-08-30_YC001",149,0,0,0,0,0,3
1.4,0.625,7.216,0.812,2.567,"18-08-30_YC001",154,0,0,0,0,0,3
8.85,0.082,6.876,0.843,13.871,"18-08-30_YC001",155,0,0,0,0,0,2
1.2,0.723,7.175,0.796,2.185,"18-08-30_YC001",156,0,0,0,0,0,3
1.46,0.598,7.26,0.778,2.447,"18-08-30_YC001",158,0,0,0,0,0,3
22.12,0.035,6.945,0.743,25.792,"18-08-30_YC001",159,0,0,0,0,0,2
1.3,0.686,7.266,0.81,2.385,"18-08-30_YC001",162,0,0,0,0,0,3
1.41,0.614,7.192,0.813,2.637,"18-08-30_YC001",163,0,0,0,0,0,3
72.98,0.012,6.677,0.471,27.203,"18-08-30_YC001",166,0,0,0,0,0,1
197.42,0.004,4.321,0.26,32.027,"18-08-30_YC001",177,0,0,0,0,0,1
53.54,0.017,7.223,0.78,78.921,"18-08-30_YC001",188,0,0,0,0,0,2
13.45,0.064,6.446,0.434,4.762,"18-08-30_YC001",189,0,0,0,0,0,1
10.02,0.067,6.553,0.648,10.408,"18-08-30_YC001",190,0,0,0,0,0,2
0.81,0.771,5.924,0.893,2.474,"18-08-30_YC001",193,0,0,0,0,0,3
7.67,0.085,6.399,0.903,19.027,"18-08-30_YC001",194,0,0,0,0,0,2
1.55,0.459,6.02,0.855,3.288,"18-08-30_YC001",195,0,0,0,0,0,2
11.5,0.031,5.746,1.129,44.549,"18-08-30_YC001",198,0,0,0,0,0,2
1.22,0.7,7.212,0.832,2.401,"18-08-30_YC001",20,0,0,0,0,0,3
19.86,0.045,7.056,0.737,37.53,"18-08-30_YC001",200,0,0,0,0,0,2
1.48,0.059,3.643,1.024,16.324,"18-08-30_YC001",201,0,0,0,0,0,2
2.93,0.201,6.342,0.837,6.863,"18-08-30_YC001",204,0,0,0,0,0,2
24.44,0.029,6.495,0.68,33.107,"18-08-30_YC001",205,0,0,0,0,0,2
6.17,0.113,6.537,0.701,6.992,"18-08-30_YC001",206,0,0,0,0,0,2
27.64,0.026,6.758,0.681,31.789,"18-08-30_YC001",209,0,0,0,0,0,2
14.95,0.046,6.3,1.04,54.981,"18-08-30_YC001",221,0,0,0,0,0,2
69.27,0.012,5.349,0.355,14.971,"18-08-30_YC001",227,1,0,0,0,0,2
1.49,0.577,7.221,0.774,2.4,"18-08-30_YC001",230,0,0,0,0,0,3
1.44,0.596,7.201,0.793,2.356,"18-08-30_YC001",232,0,0,0,0,0,3
1.92,0.446,7.176,0.756,2.77,"18-08-30_YC001",233,0,0,0,0,0,3
1.47,0.595,7.23,0.742,2.161,"18-08-30_YC001",234,0,0,0,0,0,3
1.08,0.786,7.111,0.782,1.889,"18-08-30_YC001",235,0,0,0,0,0,3
1.41,0.613,7.211,0.756,2.144,"18-08-30_YC001",238,0,0,0,0,0,3
1.58,0.513,7.111,0.797,2.637,"18-08-30_YC001",239,0,0,0,0,0,3
0.72,0.697,4.75,0.772,3.562,"18-08-30_YC001",24,0,0,0,0,0,3
1.54,0.544,7.204,0.77,2.33,"18-08-30_YC001",240,0,0,0,0,0,3
23.35,0.033,6.899,0.62,16.726,"18-08-30_YC001",241,0,0,0,0,0,1
1.23,0.699,7.153,0.768,2.019,"18-08-30_YC001",242,0,0,0,0,0,3
1.11,0.778,7.157,0.783,1.959,"18-08-30_YC001",245,0,0,0,0,0,3
1.43,0.6,7.239,0.822,2.571,"18-08-30_YC001",254,0,0,0,0,0,3
1.21,0.703,7.122,0.746,1.891,"18-08-30_YC001",256,0,0,0,0,0,3
14.97,0.049,6.624,0.738,17.273,"18-08-30_YC001",258,0,0,0,0,0,2
1.47,0.577,7.113,0.826,2.7,"18-08-30_YC001",26,0,0,0,0,0,3
1.43,0.603,7.231,0.772,2.292,"18-08-30_YC001",261,0,0,0,0,0,3
159.05,0.006,6.06,0.221,14.909,"18-08-30_YC001",263,0,0,0,0,0,1
1.26,0.698,7.203,0.768,2.106,"18-08-30_YC001",264,0,0,0,0,0,3
168.96,0.005,6.164,0.202,13.339,"18-08-30_YC001",266,0,0,0,0,0,1
93.24,0.007,5.304,0.466,34.026,"18-08-30_YC001",267,0,0,0,0,0,2
1.02,0.832,7.179,0.829,2.07,"18-08-30_YC001",27,0,0,0,0,0,3
25.04,0.037,7.071,0.414,8.388,"18-08-30_YC001",272,0,0,0,0,0,1
51.53,0.018,7.263,0.48,21.558,"18-08-30_YC001",281,0,0,0,0,0,1
18.64,0.048,7.182,0.48,8.673,"18-08-30_YC001",288,0,0,0,0,0,1
16,0.033,6.099,0.965,37.243,"18-08-30_YC001",291,0,0,0,0,0,2
11.64,0.067,6.977,0.661,12.547,"18-08-30_YC001",292,0,0,0,0,0,2
70.34,0.011,6.551,0.61,43.708,"18-08-30_YC001",296,0,0,0,0,0,1
64.02,0.014,7.041,0.384,16.877,"18-08-30_YC001",298,0,0,0,0,0,1
11.77,0.063,6.839,0.676,13.386,"18-08-30_YC001",302,0,0,0,0,0,2
69.85,0.014,7.308,0.251,8.315,"18-08-30_YC001",303,1,0,0,0,0,1
109.22,0.008,6.712,0.321,19.848,"18-08-30_YC001",304,0,0,0,0,0,1
49.26,0.019,7.085,0.309,8.796,"18-08-30_YC001",315,1,0,0,0,0,1
184.93,0.005,6.385,0.282,27.193,"18-08-30_YC001",357,0,0,0,0,0,1
139.05,0.006,6.557,0.333,26.856,"18-08-30_YC001",358,0,0,0,0,0,1
177.94,0.005,5.831,0.259,25.794,"18-08-30_YC001",359,0,0,0,0,0,1
61.61,0.015,7.205,0.335,12.743,"18-08-30_YC001",362,0,0,0,0,0,1
27.51,0.03,6.623,0.513,16.924,"18-08-30_YC001",369,0,0,0,0,0,1
101.95,0.008,6.857,0.419,30.414,"18-08-30_YC001",376,1,0,0,0,0,1
34.64,0.023,6.613,0.63,29.141,"18-08-30_YC001",377,0,0,0,0,0,1
2.62,0.135,5.924,1.213,23.25,"18-08-30_YC001",396,0,0,0,0,0,2
48.43,0.009,4.303,0.685,77.102,"18-08-30_YC001",398,0,0,0,0,0,2
15.01,0.055,7.053,0.505,8.559,"18-08-30_YC001",399,0,0,0,0,0,1
0.4,1.622,5.538,0.981,1.795,"18-08-30_YC001",44,0,0,0,0,0,3
24.47,0.037,7.173,0.579,16.792,"18-08-30_YC001",45,0,0,0,0,0,1
12.06,0.068,6.948,0.61,8.421,"18-08-30_YC001",46,0,0,0,0,0,2
1.49,0.559,7.1,0.782,2.428,"18-08-30_YC001",465,0,0,0,0,0,3
7.33,0.055,5.999,1.076,27.626,"18-08-30_YC001",48,0,0,0,0,0,2
1.33,0.657,7.256,0.822,2.542,"18-08-30_YC001",494,0,0,0,0,0,3
137.18,0.006,6.659,0.325,25.737,"18-08-30_YC001",54,0,0,0,0,0,1
167.26,0.005,5.502,0.235,21.519,"18-08-30_YC001",565,0,0,0,0,0,1
1.3,0.656,7.167,0.768,2.163,"18-08-30_YC001",69,0,0,0,0,0,3
10.27,0.065,6.867,0.838,17.094,"18-08-30_YC001",70,0,0,0,0,0,2
1.02,0.867,7.202,0.845,2.501,"18-08-30_YC001",71,0,0,0,0,0,3
11.47,0.065,7.006,0.778,13.986,"18-08-30_YC001",76,0,0,0,0,0,2
16.92,0.044,6.767,0.728,19.012,"18-08-30_YC001",78,0,0,0,0,0,2
1.5,0.579,7.187,0.82,2.781,"18-08-30_YC001",82,0,0,0,0,0,3
35.17,0.025,6.992,0.483,17.051,"18-08-30_YC001",83,0,0,0,0,0,1
1.6,0.538,7.208,0.779,2.589,"18-08-30_YC001",86,0,0,0,0,0,3
1.34,0.633,7.084,0.805,2.328,"18-08-30_YC001",89,0,0,0,0,0,3
1.61,0.525,7.147,0.814,2.808,"18-08-30_YC001",93,0,0,0,0,0,3
15.15,0.046,6.763,0.702,15.846,"18-08-30_YC001",99,0,0,0,0,0,2
2.21,0.152,5.2,1.1,17.934,"18-08-30_YC002",10,0,0,0,0,0,2
4.51,0.12,6.048,0.79,26.107,"18-08-30_YC002",103,0,0,0,0,0,2
25.25,0.027,6.425,0.761,39.484,"18-08-30_YC002",106,0,0,0,0,0,2
84.76,0.01,6.937,0.482,32.95,"18-08-30_YC002",111,0,0,0,0,0,1
4.58,0.15,6.738,0.853,9.388,"18-08-30_YC002",12,0,0,0,0,0,2
9.31,0.089,7.029,0.596,6.381,"18-08-30_YC002",123,0,0,0,0,0,2
7.35,0.101,6.486,0.676,8.197,"18-08-30_YC002",129,0,0,0,0,0,2
11.26,0.075,6.811,0.763,16.099,"18-08-30_YC002",140,0,0,0,0,0,2
27.03,0.035,7.045,0.41,10.829,"18-08-30_YC002",142,0,0,0,0,0,1
15.77,0.047,6.782,0.95,40.301,"18-08-30_YC002",144,0,0,0,0,0,2
21.15,0.029,6.298,0.687,23.013,"18-08-30_YC002",147,0,0,0,0,0,2
6.44,0.064,5.247,0.832,12.822,"18-08-30_YC002",149,0,0,0,0,0,2
22.62,0.029,6.513,1.004,61.462,"18-08-30_YC002",153,0,0,0,0,0,2
7.81,0.08,6.145,0.758,10.724,"18-08-30_YC002",157,0,0,0,0,0,2
10.73,0.045,6.361,0.923,33.882,"18-08-30_YC002",158,0,0,0,0,0,2
31.52,0.023,6.71,0.778,41.08,"18-08-30_YC002",16,0,0,0,0,0,2
7.3,0.134,6.517,0.879,10.124,"18-08-30_YC002",163,0,0,0,0,0,2
11.81,0.063,6.626,0.834,23.021,"18-08-30_YC002",169,0,0,0,0,0,2
16.54,0.021,5.566,1.01,57.429,"18-08-30_YC002",170,0,0,0,0,0,2
7.98,0.1,6.478,0.48,3.431,"18-08-30_YC002",173,0,0,0,0,0,1
3.52,0.224,6.927,0.713,4.184,"18-08-30_YC002",180,0,0,0,0,0,2
69.28,0.016,6.11,0.601,28.099,"18-08-30_YC002",205,0,0,0,0,0,1
0.35,1.801,5.281,0.983,2.709,"18-08-30_YC002",21,0,0,0,0,0,3
72.89,0.011,6.768,0.485,29.097,"18-08-30_YC002",210,0,0,0,0,0,1
13.76,0.051,6.56,0.511,7.929,"18-08-30_YC002",22,0,0,0,0,0,1
10.28,0.031,5.026,1.016,34.707,"18-08-30_YC002",255,0,0,0,0,0,2
27.72,0.031,6.977,0.532,14.185,"18-08-30_YC002",26,0,0,0,0,0,1
1.37,0.661,7.206,0.599,1.329,"18-08-30_YC002",272,0,0,0,0,0,3
1.75,0.505,7.254,0.722,2.253,"18-08-30_YC002",275,0,0,0,0,0,3
22.14,0.036,6.742,0.386,6.766,"18-08-30_YC002",31,0,0,0,0,0,1
74.39,0.01,6.062,0.456,26.437,"18-08-30_YC002",327,0,0,0,0,0,1
4.78,0.151,6.796,0.772,6.325,"18-08-30_YC002",330,0,0,0,0,0,2
30.79,0.026,7.003,0.768,49.832,"18-08-30_YC002",35,0,0,0,0,0,2
12.05,0.066,7.043,0.614,10.603,"18-08-30_YC002",36,0,0,0,0,0,2
77.28,0.008,5.101,0.402,22.992,"18-08-30_YC002",37,0,0,0,0,0,2
1.94,0.458,7.23,0.719,2.439,"18-08-30_YC002",39,0,0,0,0,0,3
1.6,0.561,7.237,0.708,2.041,"18-08-30_YC002",41,0,0,0,0,0,3
2.13,0.419,7.22,0.698,2.485,"18-08-30_YC002",51,0,0,0,0,0,3
2,0.446,7.223,0.716,2.434,"18-08-30_YC002",59,0,0,0,0,0,3
1.63,0.552,7.233,0.754,2.483,"18-08-30_YC002",60,0,0,0,0,0,3
11.27,0.056,6.653,0.697,16.854,"18-08-30_YC002",72,0,0,0,0,0,2
8.07,0.079,6.806,0.775,9.464,"18-08-30_YC002",86,1,0,0,0,0,2
