"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","PAMCluster"
14.92,0.058,7.11,0.543,9.805,"18-08-30_YC001_probe1",115,0,0,0,0,0,"MLI",1
8.06,0.1,6.974,0.686,7.559,"18-08-30_YC001_probe1",125,0,0,0,0,0,"MLI",1
1.37,0.632,7.245,0.909,3.751,"18-08-30_YC001_probe1",129,0,0,0,0,0,"CS",2
1.53,0.562,7.223,0.823,2.824,"18-08-30_YC001_probe1",130,0,0,0,0,0,"CS",2
1.43,0.614,7.245,0.819,2.626,"18-08-30_YC001_probe1",133,0,0,0,0,0,"CS",2
1.78,0.497,7.225,0.901,4.79,"18-08-30_YC001_probe1",134,0,0,0,0,0,"Gr",2
1.38,0.634,7.273,0.81,2.528,"18-08-30_YC001_probe1",135,0,0,0,0,0,"CS",2
1.64,0.545,7.263,0.801,2.81,"18-08-30_YC001_probe1",137,0,0,0,0,0,"CS",2
1.49,0.565,7.184,0.868,3.287,"18-08-30_YC001_probe1",139,0,0,0,0,0,"CS",2
1.65,0.524,7.216,0.81,2.842,"18-08-30_YC001_probe1",149,0,0,0,0,0,"CS",2
1.4,0.625,7.216,0.812,2.567,"18-08-30_YC001_probe1",154,0,0,0,0,0,"CS",2
8.85,0.082,6.876,0.843,13.871,"18-08-30_YC001_probe1",155,0,0,0,0,0,"MLI",1
1.2,0.723,7.175,0.796,2.185,"18-08-30_YC001_probe1",156,0,0,0,0,0,"CS",2
1.46,0.598,7.26,0.778,2.447,"18-08-30_YC001_probe1",158,0,0,0,0,0,"CS",2
22.12,0.035,6.945,0.743,25.792,"18-08-30_YC001_probe1",159,0,0,0,0,0,"MLI",1
1.3,0.686,7.266,0.81,2.385,"18-08-30_YC001_probe1",162,0,0,0,0,0,"CS",2
1.41,0.614,7.192,0.813,2.637,"18-08-30_YC001_probe1",163,0,0,0,0,0,"CS",2
72.98,0.012,6.677,0.471,27.203,"18-08-30_YC001_probe1",166,0,0,0,0,0,"Pk",3
197.42,0.004,4.321,0.26,32.027,"18-08-30_YC001_probe1",177,0,0,0,0,0,"Pk",3
53.54,0.017,7.223,0.78,78.921,"18-08-30_YC001_probe1",188,0,0,0,0,0,"GoMF",4
13.45,0.064,6.446,0.434,4.762,"18-08-30_YC001_probe1",189,0,0,0,0,0,"MLI",1
10.02,0.067,6.553,0.648,10.408,"18-08-30_YC001_probe1",190,0,0,0,0,0,"MLI",1
0.81,0.771,5.924,0.893,2.474,"18-08-30_YC001_probe1",193,0,0,0,0,0,"CS",2
7.67,0.085,6.399,0.903,19.027,"18-08-30_YC001_probe1",194,0,0,0,0,0,"MLI",5
1.55,0.459,6.02,0.855,3.288,"18-08-30_YC001_probe1",195,0,0,0,0,0,"Gr",2
11.5,0.031,5.746,1.129,44.549,"18-08-30_YC001_probe1",198,0,0,0,0,0,"GoMF",4
1.22,0.7,7.212,0.832,2.401,"18-08-30_YC001_probe1",20,0,0,0,0,0,"CS",2
19.86,0.045,7.056,0.737,37.53,"18-08-30_YC001_probe1",200,0,0,0,0,0,"MLI",1
1.48,0.059,3.643,1.024,16.324,"18-08-30_YC001_probe1",201,0,0,0,0,0,"GoMF",5
2.93,0.201,6.342,0.837,6.863,"18-08-30_YC001_probe1",204,0,0,0,0,0,"Gr",5
24.44,0.029,6.495,0.68,33.107,"18-08-30_YC001_probe1",205,0,0,0,0,0,"MLI",1
6.17,0.113,6.537,0.701,6.992,"18-08-30_YC001_probe1",206,0,0,0,0,0,"MLI",1
27.64,0.026,6.758,0.681,31.789,"18-08-30_YC001_probe1",209,0,0,0,0,0,"MLI",1
14.95,0.046,6.3,1.04,54.981,"18-08-30_YC001_probe1",221,0,0,0,0,0,"GoMF",4
