"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
53.54,0.017,7.223,0.78,78.921,"18-08-30_YC001_probe1",188,0,0,0,0,0,"GoMF",1
11.5,0.031,5.746,1.129,44.549,"18-08-30_YC001_probe1",198,0,0,0,0,0,"GoMF",2
1.48,0.059,3.643,1.024,16.324,"18-08-30_YC001_probe1",201,0,0,0,0,0,"GoMF",3
14.95,0.046,6.3,1.04,54.981,"18-08-30_YC001_probe1",221,0,0,0,0,0,"GoMF",1
48.43,0.009,4.303,0.685,77.102,"18-08-30_YC001_probe1",398,0,0,0,0,0,"GoMF",1
6.44,0.064,5.247,0.832,12.822,"18-08-30_YC002_probe1",149,0,0,0,0,0,"GoMF",4
22.62,0.029,6.513,1.004,61.462,"18-08-30_YC002_probe1",153,0,0,0,0,0,"GoMF",1
16.54,0.021,5.566,1.01,57.429,"18-08-30_YC002_probe1",170,0,0,0,0,0,"GoMF",1
10.28,0.031,5.026,1.016,34.707,"18-08-30_YC002_probe1",255,0,0,0,0,0,"GoMF",2
15.04,0.051,6.12,1.465,65.158,"18-08-31_YC003_probe1",0,0,0,0,0,0,"GoMF",3
11.85,0.022,3.429,0.644,14.609,"18-08-31_YC003_probe1",152,0,0,0,0,0,"GoMF",3
23.47,0.034,5.255,0.923,26.012,"18-08-31_YC003_probe1",170,0,0,0,0,0,"GoMF",2
29.54,0.025,5.241,0.85,31.314,"18-08-31_YC003_probe1",239,0,0,0,0,0,"GoMF",2
35.03,0.013,4.666,0.709,36.991,"18-08-31_YC003_probe1",295,0,0,0,0,0,"GoMF",2
18.69,0.02,4.383,0.663,22.486,"18-08-31_YC003_probe1",300,0,0,0,0,0,"GoMF",3
22.7,0.032,7.074,0.942,85.525,"18-08-31_YC003_probe1",54,0,0,0,0,0,"GoMF",1
37.11,0.014,5.21,0.822,94.357,"18-08-31_YC003_probe1",92,0,0,0,0,0,"GoMF",1
16.21,0.022,5.08,1.013,79.179,"18-08-31_YC004_probe1",74,0,0,0,0,0,"GoMF",1
10.6,0.037,5.567,0.94,21.715,"18-09-03_YC005_probe1",35,0,0,0,0,0,"GoMF",2
15.79,0.021,4.409,0.83,35.148,"18-09-03_YC006_probe1",104,0,0,0,0,0,"GoMF",2
0.97,0.137,4.615,1.429,37.779,"18-09-03_YC006_probe1",19,0,0,0,0,0,"GoMF",4
0.94,0.142,4.686,1.456,36.285,"18-09-03_YC006_probe1",20,0,0,0,0,0,"GoMF",4
1.92,0.053,4.396,1.107,44.825,"18-09-03_YC006_probe1",373,0,0,0,0,0,"GoMF",3
10.07,0.08,6.726,1.143,41.19,"18-09-03_YC006_probe1",41,0,0,0,0,0,"GoMF",4
4,0.126,5.177,0.78,6.437,"18-09-03_YC006_probe1",66,0,0,0,0,0,"GoMF",4
4.33,0.085,5.01,0.898,11.987,"18-09-03_YC006_probe1",82,0,0,0,0,0,"GoMF",4
4.13,0.087,4.765,0.915,12.278,"18-09-03_YC006_probe1",83,0,0,0,0,0,"GoMF",4
22.97,0.019,5.285,0.909,78.473,"18-09-03_YC006_probe1",86,0,0,0,0,0,"GoMF",1
9.05,0.067,6.338,1.212,48.132,"18-12-13_YC008_probe1",134,0,0,0,0,0,"GoMF",4
43.73,0.012,5.147,0.748,81.585,"18-12-13_YC008_probe1",244,0,0,0,0,0,"GoMF",1
10.39,0.035,5.656,1.011,48.606,"18-12-13_YC008_probe1",42,0,0,0,0,0,"GoMF",2
48.56,0.009,6.439,1.028,119.646,"18-12-17_YC009_probe1",111,0,0,0,0,0,"GoMF",1
17.78,0.02,5.487,0.953,78.803,"18-12-17_YC009_probe1",26,0,0,0,0,0,"GoMF",1
17.83,0.038,6.638,0.99,51.314,"18-12-17_YC009_probe1",280,0,0,0,0,0,"GoMF",1
13.38,0.029,5.454,0.823,33.078,"18-12-17_YC009_probe1",286,0,0,0,0,0,"GoMF",2
14.14,0.029,4.677,0.758,28.202,"18-12-17_YC009_probe1",364,0,0,0,0,0,"GoMF",2
21.32,0.025,5.618,0.975,64.521,"18-12-17_YC009_probe1",95,0,0,0,0,0,"GoMF",1
43.72,0.017,6.647,0.807,66.127,"18-12-17_YC010_probe1",272,0,0,0,0,0,"GoMF",1
28.08,0.019,6.285,0.961,64.123,"18-12-17_YC010_probe1",314,1,0,0,0,0,"GoMF",1
2.68,0.035,3.373,0.799,10.109,"18-12-17_YC010_probe1",99,0,0,0,0,0,"GoMF",3
8.08,0.054,5.074,0.822,12.783,"18-12-18_YC010_probe1",0,0,0,0,0,0,"GoMF",4
3.63,0.024,4.019,1.174,57.447,"18-12-18_YC010_probe1",2,0,0,0,0,0,"GoMF",3
43.84,0.015,6.742,0.879,69.975,"18-12-18_YC010_probe1",34,0,0,0,0,0,"GoMF",1
36.18,0.021,6.548,0.977,120.929,"19-01-16_YC011_probe1",154,0,0,0,0,0,"GoMF",1
41.79,0.017,6.361,0.934,85.548,"19-01-23_YC012_probe1",246,0,0,0,0,0,"GoMF",1
33.53,0.012,5.798,0.852,76.639,"19-01-23_YC012_probe1",824,0,0,0,0,0,"GoMF",1
5.32,0.048,4.841,1.142,44.337,"19-01-23_YC012_probe1",928,0,0,0,1,0,"GoMF",3
10.54,0.028,4.307,1.085,66.162,"19-01-24_YC012_probe1",168,0,0,0,0,0,"GoMF",3
4.42,0.095,5.123,0.868,15.957,"19-01-24_YC012_probe1",304,0,0,0,0,0,"GoMF",4
47.84,0.008,5.303,0.806,100.634,"19-01-24_YC012_probe1",547,0,0,0,0,0,"GoMF",1
18.99,0.014,4.66,0.82,65.956,"19-01-24_YC012_probe1",558,0,0,0,0,0,"GoMF",2
8.59,0.029,4.378,0.895,39.041,"19-01-24_YC012_probe1",898,0,0,0,0,0,"GoMF",2
4.29,0.162,4.708,1.696,28.328,"19-01-24_YC013_probe1",651,0,0,0,0,0,"GoMF",4
24.33,0.024,6.022,1.09,127.191,"19-08-14_YC015_probe1",351,0,0,0,0,0,"GoMF",1
16.47,0.036,6.112,0.99,65.465,"19-08-14_YC015_probe2",452,0,0,0,0,0,"GoMF",1
31.88,0.014,5.789,0.972,97.85,"19-08-14_YC015_probe2",642,0,0,0,0,0,"GoMF",1
23.87,0.019,5.071,1.566,117.505,"19-08-14_YC015_probe2",643,0,0,0,0,0,"GoMF",3
23.89,0.017,5.398,0.975,87.359,"19-08-14_YC015_probe1",847,0,0,0,0,0,"GoMF",1
16.23,0.028,6.013,0.986,67.666,"19-08-14_YC015_probe1",850,0,0,0,0,0,"GoMF",1
23.68,0.012,5.077,0.942,90.098,"19-08-14_YC015_probe1",851,0,0,0,0,0,"GoMF",1
6.53,0.053,5.172,1.047,40.48,"19-08-14_YC015_probe1",864,0,0,0,0,0,"GoMF",2
5.73,0.113,6.314,1.183,35.504,"19-08-14_YC015_probe1",882,0,0,0,0,0,"GoMF",4
7.81,0.013,4.254,0.622,25.208,"19-08-14_YC016_probe1",1020,0,0,0,0,0,"GoMF",3
14.78,0.034,5.168,0.818,36.149,"19-08-14_YC016_probe1",1058,0,0,0,0,0,"GoMF",2
