Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,0,"(0, 60)",205,1,0.73,1,0.97,1,0,0,49.24,14.79,30,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,1,"(60, 120)",382,1,0.8,1,0.99,1,0,0,64.06,14.83,30,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,2,"(120, 180)",3356,1,0.82,1,1.0,1,0,0,59.94,14.61,15,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,3,"(180, 240)",2953,1,0.82,1,1.0,1,0,0,51.71,14.46,12,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,4,"(240, 300)",3090,2,0.82,1,1.0,1,0,0,54.17,14.38,12,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,5,"(300, 360)",2918,1,0.82,1,1.0,1,0,0,51.28,14.33,14,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,6,"(360, 420)",3001,2,0.84,1,1.0,1,0,0,52.84,14.3,17,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,7,"(420, 480)",2845,2,0.84,1,1.0,1,0,0,49.87,14.27,16,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,8,"(480, 540)",2877,1,0.83,1,1.0,1,0,0,50.85,14.25,18,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,9,"(540, 600)",2720,2,0.84,1,1.0,1,0,0,47.95,14.24,16,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,10,"(600, 660)",2962,1,0.83,1,1.0,1,0,0,52.2,14.12,21,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,11,"(660, 720)",2781,2,0.84,1,1.0,1,0,0,48.88,14.13,17,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,12,"(720, 780)",2701,2,0.84,1,1.0,1,0,0,47.72,14.11,18,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,13,"(780, 840)",2727,2,0.84,1,1.0,1,0,0,47.82,14.09,18,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,14,"(840, 900)",2693,2,0.83,1,1.0,1,0,0,47.64,14.01,20,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,15,"(900, 960)",2631,1,0.84,1,1.0,1,0,0,46.44,14.06,16,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,16,"(960, 1020)",2886,2,0.83,1,1.0,1,0,0,52.03,14.09,23,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,17,"(1020, 1080)",2449,2,0.83,1,1.0,1,0,0,43.04,14.01,21,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,18,"(1080, 1140)",2592,2,0.83,1,1.0,1,0,0,45.93,14.05,20,1
19-01-16_YC011,95,189,51490,2,0.83,1,0,0,49.99,14.28,12.250140962600709,13,1,19,"(1140, 1200)",2721,1,0.83,1,1.0,1,0,0,48.1,14.05,19,1
