Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,0,"(0, 60)",98,1,1,1,0.93,1,1.0,1,0,0,1.78,18.28,10,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,1,"(60, 120)",112,1,1,1,0.94,1,1.0,1,0,0,1.97,18.56,11,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,2,"(120, 180)",115,2,1,1,0.96,1,1.0,1,0,0,2.09,18.5,13,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,3,"(180, 240)",93,1,1,1,0.95,1,1.0,1,0,0,1.64,19.42,4,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,4,"(240, 300)",98,2,1,1,0.98,1,0.99,1,0,0,1.79,18.31,14,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,5,"(300, 360)",101,1,1,1,0.92,1,1.0,1,0,0,1.77,18.8,7,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,6,"(360, 420)",96,1,1,1,0.95,1,1.0,1,0,0,1.69,18.73,3,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,7,"(420, 480)",90,2,1,1,0.96,1,1.0,1,0,0,1.6,18.78,5,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,8,"(480, 540)",101,2,1,1,0.96,1,1.0,1,0,0,1.81,18.62,26,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,9,"(540, 600)",89,2,1,1,0.95,1,1.0,1,0,0,1.57,18.16,98,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,10,"(600, 660)",90,2,1,1,0.96,1,1.0,1,0,0,1.59,18.34,2,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,11,"(660, 720)",103,2,1,1,0.96,1,1.0,1,0,0,1.85,18.28,6,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,12,"(720, 780)",84,1,1,1,0.93,1,1.0,1,0,0,1.48,18.6,25,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,13,"(780, 840)",89,2,1,1,0.97,1,1.0,1,0,0,1.53,18.79,8,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,14,"(840, 900)",85,1,1,1,0.94,1,1.0,1,0,0,1.59,18.63,6,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,15,"(900, 960)",88,1,1,1,0.94,1,1.0,1,0,0,1.55,18.74,19,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,16,"(960, 1020)",99,1,1,1,0.94,1,1.0,1,0,0,1.75,18.2,23,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,17,"(1020, 1080)",88,2,1,1,0.97,1,0.99,1,0,0,1.57,18.81,3,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,18,"(1080, 1140)",93,1,1,1,0.92,1,0.99,1,0,0,1.61,18.57,27,1
19-01-16_YC011,99,194,1897,1,1,1,1,0.95,1,0,0,1,1.67,18.67,13.29463996887207,5,1,19,"(1140, 1200)",85,2,1,1,0.96,1,1.0,1,0,0,1.46,18.77,9,1
