Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,0,"(0, 60)",4,4,0.16,0,0.39,0,0,0.0,0.05,7.57,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,1,"(60, 120)",7,5,0.41,0,0.42,0,0,0.0,0.18,8.25,0.92,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,2,"(120, 180)",446,3,0.48,0,0.81,1,0,0.0,10.77,8.32,0.96,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,3,"(180, 240)",637,3,0.53,0,0.86,1,0,0.0,12.29,8.36,0.96,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,4,"(240, 300)",429,3,0.51,0,0.85,1,0,0.0,11.93,8.71,0.97,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,5,"(300, 360)",870,3,0.65,1,0.93,1,0,0.0,27.35,9.38,0.98,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,6,"(360, 420)",1226,3,0.68,1,0.94,1,0,0.0,24.64,10.35,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,7,"(420, 480)",826,3,0.66,1,0.92,1,0,0.0,18.43,10.88,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,8,"(480, 540)",1282,3,0.77,1,0.97,1,0,0.0,27.21,11.28,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,9,"(540, 600)",720,3,0.74,1,0.96,1,0,0.0,22.73,11.9,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,10,"(600, 660)",205,3,0.67,1,0.87,1,0,0.0,9.3,11.84,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,11,"(660, 720)",137,3,0.81,1,0.92,1,0,0.0,3.5,11.99,1.0,1
19-10-28_YC031,7,54,12776,3,0.86,1,0,0.0,19.32,10.59,6.89,0.98,1,12,"(720, 780)",643,3,0.82,1,0.98,1,0,0.0,16.88,12.95,1.0,1
