Sample,Unit,PeakChUnit,SpikesUnit,GoodChunks,GoodChunksList,WvfChunks,WvfChunksList,SpikesBlock,PercMissingSpikesBlock,MFRBlockHz,MeanAmpBlock,RPVBlock,FpBlockFancy,FpBlockSimple,ACGViolationRatio,WvfPeaksBlock,PeaksBlock_x,PeaksBlock_y,BigPkNegBlock,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_LcV,tf_Si,tf_skw,wf_MaxAmpNorm,wf_MaxAmp,wf_MaxAmpTime,wf_MinAmpNorm,wf_MinAmp,wf_MinAmpTime,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_OnsetTime,wf_End,wf_EndTime,wf_Crossing,wf_CrossingTime,wf_Pk10,wf_Pk10Time,wf_Pk90,wf_Pk90Time,wf_Pk50,wf_Pk50Time1,wf_Pk50Time2,wf_Tr10,wf_Tr10Time,wf_Tr90,wf_Tr90Time,wf_Tr50,wf_Tr50Time1,wf_Tr50Time2,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_EndSlopeTau,key,ResponsiveUnit
18-08-30_YC001,115,169,17101,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[14, 15, 16]",17101,4,14.92,15.78,0,0.0,0.0,0.0,2,"[52, 40]","[37.271484, -74.51172]",1,23.48,0.058,0,0.016,7.11,0.5429999999999999,0.481,0.64,0.589,0.329,9.805,-0.233,0.028,1.068,0.5875361,41.31,2.37,-1.0,-70.3,1.97,0.4,0.33508525288525304,0.20000000000000007,-0.039278317,1.53,0.058261223,2.83,-0.00773245455034486,2.177847917385084,0.0587536096572876,2.1890226030601387,0.5287824869155884,2.297248991426478,0.293768048286438,2.23,2.565085252885253,-0.1,2.160511474444376,-0.9,2.017852628452164,-0.5,1.9,2.1,0.588,-7.3619669174839775,4.899495746703397,-1.4531715594239425,0.10822638836633924,0.1809773969398613,0.1426588459922118,0.19051147444437588,0.20213062710218727,18-08-30_YC001-115,-1
18-08-30_YC001,125,174,8565,11,"[4, 5, 10, 11, 12, 13, 15, 16, 17, 18, 19]",2,"[10, 11]",5046,22,8.06,13.81,0,0.0,0.0,0.0,2,"[54, 40]","[32.469727, -55.163086]",1,12.769,0.1,0,0.03,6.974,0.6859999999999999,0.644,0.685,0.773,0.498,7.559,-0.297,0.046,1.269,0.6841292,35.31,2.43,-1.0,-51.61,1.97,0.46,0.3461776506917293,0.23,-0.07402082,1.53,0.07337131,2.9,0.016010856091921113,2.238981085137921,0.06841291785240174,2.2505363843086337,0.6157162606716157,2.3736074228453896,0.3420645892620087,2.3,2.6461776506917287,-0.1,2.2173529553842783,-0.9,2.070268273885926,-0.5,1.9,2.13,0.684,-6.732331627401817,4.43080830488615,-1.6940390886982406,0.12307103853675595,0.17946361569136648,0.1470846814983524,0.2473529553842784,0.21114369168485986,18-08-30_YC001-125,-1
18-08-30_YC001,129,181,1586,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[1, 2, 3]",1586,0,1.37,38.45,0,0.0,0.0,0.0,2,"[40, 71]","[-137.01616, 44.43877]",1,11.045,0.632,2,0.08,7.245,0.909,0.878,0.6970000000000001,1.234,0.86,3.751,-1.63,0.113,0.675,0.38701278,50.52,3.0,-1.0,-130.53,1.97,1.03,0.469393934281118,0.4999999999999998,-0.019421048,1.5,-0.014180152,3.37,0.02069954110862978,2.5361835941456854,0.03870127797126769,2.5597509137485623,0.3483115017414093,2.799650056396332,0.1935063898563385,2.67,3.139393934281118,-0.1,2.4852289383286634,-0.9,2.0795028198586682,-0.5,1.8,2.3,0.387,-2.4979121726134754,1.5955024614168467,-1.2069034188566528,0.2398991426477699,0.4402490862514377,0.4057261184699952,0.5152289383286635,0.13172613395534485,18-08-30_YC001-129,-1
18-08-30_YC001,130,181,1775,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[7, 8, 9]",1775,0,1.53,22.73,0,0.0,0.0,0.0,2,"[41, 73]","[-69.31519, 31.467758]",1,2.911,0.562,4,0.099,7.223,0.823,0.799,0.675,0.98,0.693,2.824,-1.159,0.07,0.765,0.52448875,34.52,3.07,-1.0,-65.81,2.03,1.04,0.4725103613008761,0.5700000000000001,-0.074863955,1.73,0.050522894000000006,3.53,-0.014980196075440825,2.6765978077600616,0.05244887471199036,2.702340810880105,0.4720398724079132,2.970790901070352,0.2622443735599518,2.8,3.272510361300877,-0.1,2.642761544898993,-0.9,2.116085822010834,-0.5,1.8,2.37,0.524,-0.8780113834164527,1.6259445120055964,-1.3540673857118113,0.2684500901902465,0.3676591891198946,0.5266757228881591,0.6127615448989934,0.1793634746734665,18-08-30_YC001-130,-1
18-08-30_YC001,133,183,1667,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",1667,0,1.43,32.93,0,0.0,0.0,0.0,2,"[41, 69]","[-113.318016, 32.70245]",1,2.697,0.614,5,0.109,7.245,0.8190000000000001,0.772,0.645,0.981,0.6920000000000001,2.6260000000000003,-1.293,0.071,0.6859999999999999,0.32158590000000004,35.43,2.93,-1.0,-110.16,2.0,0.93,0.4516468044056961,0.5,-0.010852764,1.77,0.05352391,3.4,0.0070183542022095174,2.606645830168477,0.032158589363098136,2.6253462259069607,0.2894273042678833,2.833194603440873,0.16079294681549072,2.7,3.1516468044056962,-0.1,2.5533357529416905,-0.9,2.112335011122364,-0.5,1.83,2.33,0.322,-2.4360601281945087,1.6610477687244718,-0.7352793898758256,0.20784837753391328,0.3046537740930395,0.4410007418193263,0.5533357529416905,0.2185765624421188,18-08-30_YC001-133,-1
18-08-30_YC001,134,185,2076,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",2076,0,1.78,24.82,0,0.0,0.0,0.0,2,"[41, 31]","[-73.5705, 26.114431]",1,16.488,0.4970000000000001,1,0.067,7.225,0.901,0.8640000000000001,0.6890000000000001,1.26,0.85,4.79,-1.233,0.12,0.6659999999999999,0.32422087,24.4,1.67,-1.0,-75.25,2.0,0.33,0.1299999999999999,0.54,0.043718398,1.53,0.099403456,3.4,0.015030581608662259,1.7525919455102306,0.03242208659648895,1.7525919455102306,0.2917987793684006,1.5875919455102303,0.16211043298244476,1.6,1.73,-0.1,1.7682737351729725,-0.9,1.899930682088409,-0.5,1.83,2.37,0.324,-5.079260728409691,1.261978419054122,-0.3624951850205985,0.16500000000000006,0.08259194551023064,0.1316569469154365,0.2317262648270275,0.2778976579865937,18-08-30_YC001-134,-1
18-08-30_YC001,135,186,1617,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[11, 12, 13]",1617,0,1.38,24.98,0,0.0,0.0,0.0,2,"[42, 33]","[-80.12247, 24.053673]",1,2.532,0.634,3,0.119,7.273,0.81,0.7909999999999999,0.6409999999999999,0.966,0.684,2.528,-1.35,0.069,0.648,0.31969607,25.28,1.73,-1.0,-79.08,2.03,0.3,0.17000000000000015,0.3999999999999999,0.013411393,1.53,-0.11018948,3.33,-0.012504225005993144,1.8150244027495093,0.031969606876373284,1.8150244027495093,0.2877264618873596,1.6650244027495096,0.15984803438186646,1.63,1.8,-0.1,1.8300069703702744,-0.9,1.9544826844817744,-0.5,1.9,2.3,0.32,-5.502195752840251,1.9754872298217168,-0.3821073285428993,0.1499999999999999,0.08502440274950951,0.12447571411150048,0.19999302962972565,0.21377546062487526,18-08-30_YC001-135,-1
18-08-30_YC001,137,190,1907,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[8, 9, 10]",1907,0,1.64,33.08,0,0.0,0.0,0.0,2,"[64, 36]","[34.089817, -114.06031]",1,2.972,0.545,3,0.1,7.263,0.8009999999999999,0.765,0.634,0.951,0.669,2.81,-1.048,0.067,0.626,0.3376203,37.34,2.77,-1.0,-110.58,1.83,0.94,0.4486053608944927,0.46,-0.021394506,1.53,0.023583025,3.23,0.003333040885743321,2.407552615224936,0.03376202881336212,2.4317996813792293,0.3038582593202591,2.7045684960179006,0.1688101440668106,2.53,2.9786053608944925,-0.1,2.3403847517330036,-0.9,1.9183088486875048,-0.5,1.67,2.13,0.338,-2.9681288824849923,1.583872853096532,-0.9088297719220448,0.2727688146386717,0.3382003186207707,0.4220759030454988,0.5103847517330036,0.1823124210148422,18-08-30_YC001-137,-1
18-08-30_YC001,139,186,1728,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[2, 3, 4]",1728,1,1.49,21.56,0,0.0,0.0,0.0,2,"[74, 39]","[34.20708, -76.44088]",1,5.84,0.565,1,0.093,7.184,0.868,0.8320000000000001,0.701,1.098,0.7759999999999999,3.287,-1.327,0.08900000000000001,0.8140000000000001,0.4622729,34.83,3.1,-1.0,-75.35,1.93,1.17,0.4514606669955832,0.5,-0.008770889,1.53,-0.009273547,3.57,-0.031688261959743565,2.7434089955327265,0.046227291226387024,2.7789576745803286,0.4160456210374832,3.040834267955898,0.2311364561319351,2.9,3.351460666995583,-0.1,2.677086820817161,-0.9,2.0225621990104083,-0.5,1.77,2.27,0.462,-2.291797576369824,1.2418161036110966,-0.9093361628520026,0.2618765933755696,0.3210423254196715,0.6545246218067531,0.7470868208171615,0.1936593412276899,18-08-30_YC001-139,-1
18-08-30_YC001,149,190,1914,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[13, 14, 15]",1914,0,1.65,45.36,0,0.0,0.0,0.0,2,"[40, 68]","[-283.49, 80.07256]",1,3.0410000000000004,0.524,1,0.103,7.216,0.81,0.799,0.67,0.959,0.6759999999999999,2.842,-1.03,0.067,0.768,0.29219908,82.19,2.9,-1.0,-281.28,1.97,0.93,0.5596724690568653,0.3999999999999999,-0.0129399225,1.63,0.043323115,3.37,0.0015305257183798047,2.525813590309281,0.02921990752220154,2.546469046027492,0.26297916769981383,2.7765495564748552,0.1460995376110077,2.63,3.189672469056865,-0.1,2.464696074170147,-0.9,2.070633808564985,-0.5,1.83,2.23,0.292,-3.6107513411291747,1.5980204597430685,-0.483836020742144,0.2300805104473631,0.3535309539725078,0.3940622656051618,0.4946960741701469,0.2635844219688928,18-08-30_YC001-149,-1
